%1$d already matched	%1$d ya coincidían
%1$d areas were checked and everything they need is here.	Se comprobaron %1$d áreas y está todo lo que necesitan.
%1$d fields overridden	%1$d campos sobrescritos
%1$d fields will be overridden when requested	%1$d campos se sobrescribirán cuando se soliciten
%1$d gates selected	%1$d interruptores seleccionados
%1$d minutes left	Quedan %1$d minutos
%1$d rejected	%1$d rechazados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados hasta ahora
%1$d results so far, and more not counted	%1$d resultados hasta ahora, y más sin contar
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is	%1$d ajuste no estaba en ese archivo y se dejó como estaba
%1$d settings were not in that file and were left as they are	%1$d ajustes no estaban en ese archivo y se dejaron como estaban
%1$d unavailable	%1$d no disponibles
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (valor de TikTok)
%1$s (custom, unverified)	%1$s (personalizado, sin verificar)
%1$s (override returned)	%1$s (se devolvió la sobrescritura)
%1$s (will be returned when requested)	%1$s (se devolverá cuando se solicite)
%1$s / current cache only	%1$s / solo caché actual
%1$s / generated registry	%1$s / registro generado
%1$s / generated registry and current cache	%1$s / registro generado y caché actual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s y superior
%1$s appears more than once in this file.	%1$s aparece más de una vez en este archivo.
%1$s changed	%1$s cambiados
%1$s is already hidden	%1$s ya está oculto
%1$s destinations must start with %2$s	Los destinos de %1$s deben empezar por %2$s
%1$s has an invalid value. %2$s	%1$s tiene un valor no válido. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s es un tipo de valor que el Lab no puede sustituir.
%1$s has type %2$s, but the file says %3$s.	%1$s tiene el tipo %2$s, pero el archivo indica %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s no es un código de país, así que ningún vídeo coincidiría nunca. Usa dos letras, como GB, IE o US.
%1$s is not in this Lab catalog.	%1$s no está en este catálogo del Lab.
%1$s isn't installed or doesn't take links	%1$s no está instalado o no acepta enlaces
%1$s left	Queda %1$s
%1$s min left	Quedan %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Quedan %1$s videos
%1$s was rejected. %2$s	%1$s fue rechazado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seleccionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltan
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar. El primero que faltó: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan. El primero que faltó: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 campo sobrescrito
Block the creator in one tap. Once TikTok confirms, skip to the next video. A small Unblock button appears at the top left for two seconds. You can also unblock later in TikTok's Privacy > Blocked accounts.	Bloquea al creador con un toque. Cuando TikTok lo confirme, pasa al siguiente video. Aparece un botón pequeño para desbloquear arriba a la izquierda durante dos segundos. También puedes desbloquear más tarde en Privacidad > Cuentas bloqueadas de TikTok.
TikTok's own daily screen-time reminder sends the app to the background instead of waiting to be dismissed. Coming straight back leaves the reminder on screen, so the limit stays reachable. Needs a daily limit set under TikTok's Settings and privacy, under Time and well-being.	El propio recordatorio diario de tiempo en pantalla de TikTok manda la app a segundo plano en vez de esperar a que lo cierres. Si vuelves enseguida, el recordatorio se queda en pantalla, para que el límite siga a tu alcance. Necesita un límite diario en Ajustes y privacidad de TikTok, en Tiempo y bienestar.
Unblock	Desbloquear
Add a button beside the block control to send feedback about the current video.	Añade un botón junto al control de bloqueo para enviar comentarios sobre el vídeo actual.
Add a creator	Añadir un creador
Add a button that hides the current creator on this phone without blocking them.	Añade un botón que oculta al creador actual en este dispositivo sin bloquearlo.
Add a separate button that skips videos using the current sound.	Añade un botón separado que omite los vídeos que usan el sonido actual.
Add hidden creator	Añadir creador oculto
Added %1$s	Se agrego %1$s
Ads	Anuncios
Auto-advance videos	Avanzar vídeos automáticamente
Advanced	Avanzado
Advanced JSON value	Valor JSON avanzado
All	Todos
All available languages	Todos los idiomas disponibles
All events	Todos los eventos
All loaded tabs	Todas las pestañas cargadas
Allow Duet and Stitch anyway	Permitir Dúo y Unir de todas formas
Allow screenshots and Circle to Search	Permitir capturas de pantalla y Círculo para buscar
Allow storage for TikTok in Android settings to save profile pictures	Hace falta permiso de almacenamiento para guardar una foto de perfil
Allow storage for TikTok in Android settings to save sounds	Hace falta permiso de almacenamiento para guardar un sonido
Allow storage for TikTok in Android settings to save stories	Hace falta permiso de almacenamiento para guardar una historia
Bottom tabs to keep	Pestañas inferiores que mantener
Already marked as not interested	Ya marcado como no me interesa
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.	Aplicar también estos filtros a los vídeos descargados que TikTok usa cuando el feed no consigue cargar suficientes elementos nuevos.
Also change the region TikTok reports internally. Keeps your interface language. Your IP address and your account's own rules still apply.	Cambia también la región que TikTok informa internamente. Mantiene el idioma de la interfaz. Tu dirección IP y las reglas de tu cuenta siguen aplicándose.
Always show publish date	Mostrar siempre la fecha de publicación
Always show the publish date in video author information. Restart TikTok to apply this.	Mostrar siempre la fecha de publicación en la información del autor del vídeo. Reinicia TikTok para que se aplique.
An app's package name, like com.dv.adm. The save button sends the video's link there instead of saving it here. Leave it empty to save here.	El nombre de paquete de una app, como com.dv.adm. El botón de guardar envía allí el enlace del vídeo en vez de guardarlo aquí. Déjalo vacío para guardarlo aquí.
An interrupted settings change couldn't be recovered, so its record was set aside. Check your settings or restore a backup.	No se pudo recuperar un cambio de ajustes interrumpido, así que su registro se apartó. Revisa tus ajustes o restaura una copia de seguridad.
An operator code is five or six digits, like 310260	Un código de operador tiene cinco o seis dígitos, como 310260
An override changes the value TikTok reads from this gate. It does not rewrite TikTok's cached value or prove the named feature changed.	Una sustitución cambia el valor que TikTok lee de este interruptor. No reescribe el valor que TikTok tiene en caché ni demuestra que la función nombrada haya cambiado.
Animated sticker format	Formato de los stickers animados
Answer TikTok's location requests with nothing. The region settings change the locale and timezone; this stops the coordinates.	Responde a las solicitudes de ubicación de TikTok con nada. Los ajustes de región cambian la configuración regional y la zona horaria; esto detiene las coordenadas.
Answer TikTok's reads of your contacts with an empty list. Find Friends and People you may know lose access to your contact list.	Responde a las lecturas de tus contactos por parte de TikTok con una lista vacía. Buscar amigos y Personas que quizá conozcas pierden el acceso a tu lista de contactos.
Answer TikTok's scan of the apps on this phone with an empty list. A check for one named app, which TikTok also uses to open an app you tap, is left alone.	Responde al escaneo de las apps de este teléfono por parte de TikTok con una lista vacía. La comprobación de una app concreta, que TikTok también usa para abrir una app que tocas, no se toca.
App	Aplicación
App AB	AB de la aplicación
Appearance	Apariencia
Applies to both video and photo downloads.	Se aplica tanto a las descargas de vídeo como a las de fotos.
Apply	Aplicar
Around the video	Alrededor del vídeo
Arrange your feed and bottom tabs	Organiza tu feed y las pestañas inferiores
Attention	Atención
Audio	Audio
Auto translate comments	Traducir comentarios automáticamente
Auto-advance session limit	Límite de avance automático por sesión
Automatic	Automático
Auto-advance	Avance automático
Auto-advance stopped after %1$d videos	El avance automático se detuvo tras %1$d vídeos
Auto-advance stopped after one video	El avance automático se detuvo tras un vídeo
Automatic clear display	Ocultar controles automáticamente
Avatar and follow button	Avatar y botón de seguir
Back	Atrás
Back up settings	Copia de seguridad de los ajustes
Backup and restore	Copia de seguridad y restauración
Black	Negro
Block clipboard reads	Bloquear la lectura del portapapeles
Block contact list access	Bloquear el acceso a los contactos
Block installed app scanning	Bloquear el escaneo de apps instaladas
Block location	Bloquear la ubicación
Block motion sensors	Bloquear los sensores de movimiento
Block new feed tabs	Bloquear pestañas nuevas del feed
Block new bottom tabs	Bloquear pestañas inferiores nuevas
Block this commenter	Bloquear a quien comenta
Block this creator	Bloquear a este creador
Block this sound	Bloquear este sonido
Blocked	Bloqueado
Blocked %1$s	%1$s bloqueado
Blocked %1$s. Unblock	%1$s bloqueado. Desbloquear
Couldn't confirm the block for %1$s. Open their profile to check.	No se pudo confirmar el bloqueo de %1$s. Abre su perfil para comprobarlo.
Blocked caption words	Palabras bloqueadas en las descripciones
Blocked comment words	Palabras bloqueadas en los comentarios
Blocked creators	Creadores bloqueados
Blocked sound ids	Ids de sonidos bloqueados
Blocked sound names	Nombres de sonidos bloqueados
Blocked sounds	Sonidos bloqueados
Blocking	Bloquear
Boolean	Booleano
Browse	Explorar
Camera and microphone in use	Cámara y micrófono en uso
Camera in use	Cámara en uso
Cancel	Cancelar
Caption background	Fondo de los subtítulos
Caption text size	Tamaño del texto de los subtítulos
Captions	Subtítulos
Captions, gestures and on-screen controls	Subtítulos, gestos y controles en pantalla
Capture crash reports locally	Guardar los informes de fallo en el dispositivo
Choose %1$d to %2$d videos. Values outside this range use the nearest valid limit. Restart TikTok to apply this.	Elige entre %1$d y %2$d vídeos. Los valores fuera de ese rango usan el límite válido más cercano. Reinicia TikTok para que se aplique.
Choose a backup file. Your current settings are kept for Undo.	Elige un archivo de copia de seguridad. Tus ajustes actuales se guardan para Deshacer.
Choose a folder on internal storage. SD cards are not supported.	Solo se admiten carpetas del almacenamiento interno.
Choose a preset to fill the SIM details.	Elige un ajuste preestablecido para rellenar los datos de la SIM.
Choose a subfolder under %1$s.	Elige una subcarpeta dentro de %1$s.
Pick the actions to remove from the share sheet. Names you typed by hand that TikTok hasn't shown yet stay in the list above.	Elige las acciones que quieres quitar de la hoja para compartir. Los nombres que escribiste a mano y que TikTok aún no ha mostrado se mantienen en la lista de arriba.
Choose what reaches your feed	Elige qué llega a tu feed
Choose which loaded TikTok bottom navigation tabs should stay visible.	Elige qué pestañas de navegación inferior cargadas por TikTok deben seguir visibles.
Choose which loaded TikTok feed tabs should stay visible. If only For You remains, its redundant header is hidden.	Elige qué pestañas del feed cargadas por TikTok deben seguir visibles. Si solo queda Para ti, se oculta el encabezado redundante.
Choose which rows and controls appear	Elige qué filas y controles aparecen
Clear all	Borrar todo
Clear all Lab data (overrides, switch, recordings)	Borrar todos los datos del Lab (sustituciones, interruptor, grabaciones)
Clear all suggested accounts	Borrar todas las cuentas sugeridas
Clear the recent events, saved crash reports and the hook status above.	Borra los eventos recientes, los informes de fallo guardados y el estado de los enganches de arriba.
Clear diagnostic data	Borrar los datos de diagnóstico
Clear display	Controles ocultos
Clear display delay	Retardo para ocultar los controles
Clear preset	Quitar el preajuste
Clear search	Borrar la búsqueda
Clear seen videos	Borrar los vídeos vistos
Clear the search	Borrar la búsqueda
Cleared. Tap to undo before TikTok closes.	Borrados. Toca para deshacerlo antes de que se cierre TikTok.
Clearing	Borrando
Clearing suggested accounts	Borrando las cuentas sugeridas
Clearing, %1$d so far	Borrando, %1$d hasta ahora
Close	Cerrar
Comma separated account handles or user ids. Videos from these accounts are always hidden. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name.	Nombres de usuario o ids separados por comas. Los vídeos de estas cuentas siempre se ocultan. Una entrada entre barras, como /^news_/, es un patrón que se compara con el nombre de usuario y con el nombre visible.
Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries.	Códigos de país separados por comas, como GB, IE. Los vídeos publicados desde cualquier otro sitio se ocultan. Déjalo vacío para todos los países.
Comma separated country codes. Videos posted from these are hidden, whatever the list above says.	Códigos de país separados por comas. Los vídeos publicados desde ellos se ocultan, diga lo que diga la lista de arriba.
Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above.	Lista separada por comas de cualquier otro título de fila de la bandeja que quieras ocultar, con coincidencia exacta. Úsalo para lo que no esté arriba.
Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens.	Nombres separados por comas, exactamente como los muestra el panel de compartir: amigos de la fila Enviar a, destinos como Facebook y acciones como Crear grupo o Repostear. Las claves estables como copy, save y dislike también funcionan antes de que se abra el panel.
Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.	Ids de sonido separados por comas, registrados por el botón de sonido del reproductor. Quita uno para desbloquearlo.
Comma separated usernames or display names whose comments are hidden.	Nombres de usuario o nombres visibles separados por comas cuyos comentarios se ocultan.
Comma separated words or phrases. Videos whose caption matches are hidden. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Palabras o frases separadas por comas. Los vídeos cuya descripción coincida se ocultan. Da igual mayúsculas y minúsculas. Dos frases entre comillas se pueden unir: "a" & "b" pide las dos, "a" !& "b" pide la primera sin la segunda.
Comma separated words to match against a sound's name, like saxophone. Case does not matter.	Palabras separadas por comas para comparar con el nombre de un sonido, como saxofón. Da igual mayúsculas y minúsculas.
Comma separated. A comment is hidden if its text contains any of them. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Separadas por comas. Un comentario se oculta si su texto contiene cualquiera de ellas. Da igual mayúsculas y minúsculas. Dos frases entre comillas se pueden unir: "a" & "b" pide las dos, "a" !& "b" pide la primera sin la segunda.
Comment media filename	Nombre de archivo del contenido de un comentario
Comments	Comentarios
Comments aren't available for this video	Los comentarios no están disponibles para este vídeo
Comments beside the video	Comentarios junto al vídeo
Compare gate reads with their previous values.	Compara las lecturas de los interruptores con sus valores anteriores.
Completed an interrupted settings change. Restart TikTok to apply this.	Se completó un cambio de ajustes interrumpido. Reinicia TikTok para que se aplique.
Config	Configuración
Config (Settings Manager)	Configuración (Settings Manager)
Confirm before a quick repost	Confirmar antes de un repost rápido
Confirm before following	Confirmar antes de seguir
Confirm before liking	Confirmar antes de dar me gusta
Confirm before liking a comment	Confirmar antes de dar me gusta a un comentario
Confirm before liking a story	Confirmar antes de dar me gusta a una historia
Confirm before sending to a friend	Confirmar antes de enviar a un amigo
Continue supported videos from where you stopped when you scroll back to them.	Continuar los vídeos compatibles desde donde los dejaste cuando vuelvas a ellos.
Controls	Controles
Copied feature gate report	Informe de interruptores copiado
Copy a quick report or save the full report as a file.	Copia un informe rápido o guarda el informe completo como archivo.
Copy comments without username	Copiar los comentarios sin el nombre de usuario
Copy only the comment text when using TikTok's copy comment action.	Copiar solo el texto del comentario al usar la acción de copiar comentario de TikTok.
Copy quick report	Copiar informe rápido
Copy report	Copiar el informe
Copy the sound link	Copiar el enlace del sonido
Copy the video link	Copiar el enlace del vídeo
Couldn't change the Lab settings. Try again.	No se pudieron cambiar los ajustes del Lab. Inténtalo de nuevo.
Couldn't clear the suggested accounts. Reopen the Inbox and try again.	No se pudieron borrar las cuentas sugeridas. Vuelve a abrir la bandeja de entrada e inténtalo de nuevo.
Couldn't copy the report. Use Save JSON instead.	No se pudo copiar el informe. Usa Guardar JSON en su lugar.
Couldn't open settings search. Reopen settings and try again.	No se pudo abrir la búsqueda de ajustes. Vuelve a abrir los ajustes e inténtalo de nuevo.
Couldn't open that settings section. Reopen settings and try again.	No se pudo abrir esa sección de ajustes. Vuelve a abrir los ajustes e inténtalo de nuevo.
Couldn't open the file picker to export. Try again.	No se pudo abrir el selector de archivos para exportar. Inténtalo de nuevo.
Couldn't open the file picker to import. Try again.	No se pudo abrir el selector de archivos para importar. Inténtalo de nuevo.
Couldn't put back the diagnostic data. Try again.	No se pudieron recuperar los datos de diagnóstico. Inténtalo de nuevo.
Couldn't read who posted this comment. Open their profile and block them there.	No se pudo leer quién publicó este comentario. Abre su perfil y bloquéalo desde allí.
Couldn't reset this override. Try again.	No se pudo restablecer esta sustitución. Inténtalo de nuevo.
Couldn't restore the settings. Try again.	No se pudieron restaurar los ajustes. Inténtalo de nuevo.
Couldn't save the settings backup. Try again.	No se pudo guardar la copia de seguridad de los ajustes. Inténtalo de nuevo.
Couldn't save this override. Try again.	No se pudo guardar esta sustitución. Inténtalo de nuevo.
Couldn't send the feedback. Try again shortly.	No se pudo enviar la valoración. Inténtalo de nuevo en un momento.
Couldn't start the Lab change. Try again shortly.	No se pudo iniciar el cambio del Lab. Inténtalo de nuevo en breve.
Couldn't start the report export. Try again shortly.	No se pudo iniciar la exportación del informe. Inténtalo de nuevo en breve.
Couldn't start the settings change. Try again shortly.	No se pudo iniciar el cambio de ajustes. Inténtalo de nuevo en breve.
Couldn't tell which folder to update. Choose it again.	No se pudo saber qué carpeta actualizar. Vuelve a elegirla.
Couldn't undo the clear. Try again.	No se pudo deshacer el borrado. Inténtalo de nuevo.
Country code	Código de país
Country and network preferences	Preferencias de país y de red
Counts under the buttons	Cifras bajo los botones
Create	Crear
Creators and sounds	Creadores y sonidos
Creators you hid from a video. Search the list and remove one at a time.	Creadores que ocultaste desde un vídeo. Busca en la lista y quita las entradas de una en una.
Current	Actual
Current %1$s	Actual: %1$s
Current cache unavailable: %1$s	La caché actual no está disponible: %1$s
Current state	Estado actual
Current: %1$s	Ahora: %1$s
Custom SIM details	Datos de SIM personalizados
Custom value	Valor personalizado
Custom value...	Valor personalizado...
Protect external pages in TikTok's browser	Proteger páginas externas en el navegador de TikTok
Daily budget	Presupuesto diario
Daily budgets, reminders and the hold	Presupuestos diarios, recordatorios y la pausa
Daily time budget	Presupuesto diario de tiempo
Daily video budget	Presupuesto diario de vídeos
Dark	Oscuro
Days to remember a video. Zero removes the age limit. History keeps at most %1$s videos.	Días que se recuerda un vídeo. Cero quita el límite de antigüedad. El historial guarda como mucho %1$s vídeos.
Days. Zero keeps every age. Posts without a usable timestamp, including future posts, stay visible.	Días. Cero acepta cualquier antigüedad. Las publicaciones sin una fecha utilizable, incluidas las futuras, siguen visibles.
Default	Predeterminado
Default playback speed	Velocidad de reproducción predeterminada
Device access	Acceso al dispositivo
Device language, then original	Idioma del dispositivo, después el original
Diagnostic data cleared. Tap again to put it back.	Se borraron los datos de diagnóstico. Toca de nuevo para restaurarlos.
Diagnostic data put back	Se restauraron los datos de diagnóstico
Diagnostic report copied to the clipboard	Informe de diagnóstico copiado al portapapeles
Diagnostics	Diagnóstico
Disable	Desactivar
Stop analytics and tracking	Detener la analítica y el seguimiento
Keep For You on a Home tap	Mantener Para ti al tocar Inicio
Keep For You on a pull down	Mantener Para ti al deslizar hacia abajo
Keep long press from quick sharing	Que la pulsación larga no comparta rápido
Keep long press from reposting	Que la pulsación larga no haga repost
Disabled	Desactivados
Discard edits	Descartar los cambios
Dismissed %1$s suggested accounts	%1$s cuentas sugeridas descartadas
Dismissed one suggested account	Una cuenta sugerida descartada
Do not start the feed on returning	No poner el feed en marcha al volver
Do nothing	No hacer nada
Done	Listo
Double tap	Doble toque
Download original photos	Descargar las fotos originales
Destination updated	Destino actualizado
Downloads	Descargas
Drag to move, release to place	Arrastra para mover, suelta para colocar
Drama and Series	Drama y series
Draw TikTok's text in your device's font instead of TikTok Sans. Icons, gift animations and the @ and # glyphs keep their own fonts. Restart TikTok to apply this.	Muestra el texto de TikTok con la fuente de tu dispositivo en lugar de TikTok Sans. Los iconos, las animaciones de regalos y los signos @ y # conservan su propia fuente. Reinicia TikTok para que se aplique.
Hide the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox.	Oculta la notificación que dice que alguien nuevo te ha seguido antes de que llegue al panel. Las demás notificaciones se quedan como están, y quien te siguió sigue apareciendo en la bandeja.
Each area, how many of the things it looks for are in this build and how many are not.	Cada área, cuántas de las cosas que busca están en esta compilación y cuántas no.
Empty	Vacío
Empty the menu that opens when you press and hold TikTok's icon on the home screen. Turning this off asks TikTok to build them again. Tapping the icon still opens the app, and a shortcut you pinned yourself stays where you put it.	Vaciar el menú que se abre al mantener pulsado el icono de TikTok en la pantalla de inicio. Al desactivarlo se pide a TikTok que los vuelva a crear. Tocar el icono sigue abriendo la aplicación, y un acceso directo que hayas anclado permanece donde lo pusiste.
Enable	Activar
Log diagnostics	Registrar diagnósticos
Lock the hold speed with a pull down	Fijar la velocidad al mantener pulsado deslizando hacia abajo
Apply overrides	Aplicar las sustituciones
Enabled	Activados
Enter a JSON object or array.	Introduce un objeto o una matriz JSON.
Enter a creator handle or id	Escribe un nombre de usuario o un id de creador
Enter a finite number.	Introduce un número finito.
Enter a number	Escribe un número
Enter a number.	Escribe un número.
Enter a valid structured value.	Introduce un valor estructurado válido.
Enter a valid two-letter country code	Escribe un código de país válido de dos letras
Enter a whole number, or one like 20K, 1.5M or 2B	Escribe un número entero, o uno como 20K, 1.5M o 2B
Enter a whole number.	Ingresa un número entero.
Enter true or false.	Introduce true o false.
Enter up to %1$d comma-separated speeds from %2$s to %3$s	Escribe hasta %1$d velocidades separadas por comas, de %2$s a %3$s
Enter valid JSON.	Introduce JSON válido.
Entry %1$d has a field with the wrong data type.	La entrada %1$d tiene un campo con un tipo de datos incorrecto.
Entry %1$d is not an object.	La entrada %1$d no es un objeto.
Errors	Errores
Expand activity list	Ampliar la lista de actividad
Explore	Explorar
Export diagnostic report	Exportar el informe de diagnóstico
Export loaded values	Exportar los valores cargados
Exported %1$d loaded values	%1$d valores cargados exportados
Exported 1 loaded value	1 valor cargado exportado
Fade the feed out before the hold	Atenuar el feed antes de la pausa
Feature Gate Lab	Laboratorio de interruptores
Feature gate override reset	Sustitución del interruptor restablecida
Feature gate override saved	Sustitución del interruptor guardada
Feed and navigation	Feed y navegación
Feed button size	Tamaño de los botones del feed
Feed filter	Filtro del feed
Feed screen	Pantalla del feed
Feed tabs	Pestañas del feed
Field %1$s can't be changed on this build. Take it out of the override, or reset the override.	El campo %1$s no se puede cambiar en esta versión. Quítalo de la anulación o restablece la anulación.
Field edits were discarded	Se descartaron los cambios de los campos
Field edits were not saved	Los cambios de los campos no se guardaron
Files	Archivos
Filter bottom tabs	Filtrar las pestañas inferiores
Filter comments by keyword	Filtrar los comentarios por palabra
Filter feed tabs	Filtrar las pestañas del feed
Filter TikTok's offline videos	Filtrar los vídeos sin conexión de TikTok
Filter settings	Ajustes de filtros
