%1$d already matched	%1$d já coincidiam
%1$d areas were checked and everything they need is here.	%1$d áreas foram verificadas e tudo de que precisam está aqui.
%1$d fields overridden	%1$d campos substituídos
%1$d fields will be overridden when requested	%1$d campos serão substituídos quando solicitados
%1$d gates selected	%1$d gates selecionados
%1$d minutes left	Restam %1$d minutos
%1$d rejected	%1$d rejeitados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados até agora
%1$d results so far, and more not counted	%1$d resultados até agora, e mais não contados
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is	%1$d configuração não estava nesse arquivo e ficou como estava
%1$d settings were not in that file and were left as they are	%1$d configurações não estavam nesse arquivo e ficaram como estavam
%1$d unavailable	%1$d indisponíveis
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (valor do TikTok)
%1$s (custom, unverified)	%1$s (personalizado, não verificado)
%1$s (override returned)	%1$s (substituição retornada)
%1$s (will be returned when requested)	%1$s (será retornado quando solicitado)
%1$s / current cache only	%1$s / somente cache atual
%1$s / generated registry	%1$s / registro gerado
%1$s / generated registry and current cache	%1$s / registro gerado e cache atual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s ou superior
%1$s appears more than once in this file.	%1$s aparece mais de uma vez neste arquivo.
%1$s changed	%1$s alterados
%1$s is already hidden	%1$s já está escondido
%1$s destinations must start with %2$s	Os destinos de %1$s precisam começar com %2$s
%1$s has an invalid value. %2$s	%1$s tem um valor inválido. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s é um tipo de valor que o Lab não consegue substituir.
%1$s has type %2$s, but the file says %3$s.	%1$s tem o tipo %2$s, mas o arquivo informa %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s não é um código de país, então nenhum vídeo combinaria com ele. Use duas letras, como GB, IE ou US.
%1$s is not in this Lab catalog.	%1$s não está neste catálogo do Lab.
%1$s isn't installed or doesn't take links	%1$s não está instalado ou não aceita links
%1$s left	Resta %1$s
%1$s min left	Restam %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Restam %1$s vídeos
%1$s was rejected. %2$s	%1$s foi rejeitado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, selecionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltando
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar. O primeiro que faltou: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando. O primeiro que faltou: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 campo substituído
Around the video	Ao redor do vídeo
Arrange your feed and bottom tabs	Organize seu feed e as abas de baixo
Attention	Atenção
Audio	Áudio
Auto translate comments	Traduzir comentários automaticamente
Auto-advance session limit	Limite de avanço automático por sessão
Automatic	Automático
Auto-advance	Avanço automático
Auto-advance stopped after %1$d videos	O avanço automático parou depois de %1$d vídeos
Auto-advance stopped after one video	O avanço automático parou depois de um vídeo
Automatic clear display	Limpar a tela automaticamente
Avatar and follow button	Avatar e botão de seguir
Back	Voltar
Back up settings	Backup das configurações
Backup and restore	Backup e restauração
Black	Preto
Block clipboard reads	Bloquear a leitura da área de transferência
Block contact list access	Bloquear o acesso à lista de contatos
Block installed app scanning	Bloquear a varredura de apps instalados
Block location	Bloquear a localização
Block motion sensors	Bloquear os sensores de movimento
Block new feed tabs	Bloquear novas abas do feed
Block new bottom tabs	Bloquear novas abas de baixo
Block this commenter	Bloquear quem comentou
Block this creator	Bloquear este criador
Block this sound	Bloquear este som
Blocked	Bloqueado
Blocked %1$s	%1$s bloqueado
Blocked %1$s. Unblock	%1$s bloqueado. Desbloquear
Couldn't confirm the block for %1$s. Open their profile to check.	Não foi possível confirmar o bloqueio de %1$s. Abra o perfil para conferir.
Blocked caption words	Palavras bloqueadas nas legendas
Blocked comment words	Palavras bloqueadas nos comentários
Blocked creators	Criadores bloqueados
Blocked sound ids	Ids de sons bloqueados
Blocked sound names	Nomes de sons bloqueados
Blocked sounds	Sons bloqueados
Blocking	Bloquear
Boolean	Booleano
Browse	Procurar
Camera and microphone in use	Câmera e microfone em uso
Camera in use	Câmera em uso
Cancel	Cancelar
Caption background	Fundo das legendas
Caption text size	Tamanho do texto das legendas
Captions	Legendas
Captions, gestures and on-screen controls	Legendas, gestos e controles na tela
Capture crash reports locally	Guardar os relatórios de falha no aparelho
Choose %1$d to %2$d videos. Values outside this range use the nearest valid limit. Restart TikTok to apply this.	Escolha entre %1$d e %2$d vídeos. Valores fora dessa faixa usam o limite válido mais próximo. Reinicie o TikTok para aplicar.
Choose a backup file. Your current settings are kept for Undo.	Escolha um arquivo de backup. Suas configurações atuais ficam guardadas para Desfazer.
Choose a folder on internal storage. SD cards are not supported.	Só há suporte para pastas do armazenamento interno.
Choose a preset to fill the SIM details.	Escolha uma predefinição para preencher os dados do SIM.
Choose a subfolder under %1$s.	Escolha uma subpasta dentro de %1$s.
Pick the actions to remove from the share sheet. Names you typed by hand that TikTok hasn't shown yet stay in the list above.	Escolha as ações que quer remover da lista de compartilhamento. Os nomes digitados manualmente que o TikTok ainda não mostrou continuam na lista acima.
Choose what reaches your feed	Escolha o que chega ao seu feed
Choose which loaded TikTok bottom navigation tabs should stay visible.	Escolha quais abas de navegação de baixo carregadas pelo TikTok devem continuar visíveis.
Choose which loaded TikTok feed tabs should stay visible. If only For You remains, its redundant header is hidden.	Escolha quais abas do feed carregadas pelo TikTok devem continuar visíveis. Se só Para você restar, o cabeçalho redundante será ocultado.
Choose which rows and controls appear	Escolha quais linhas e controles aparecem
Clear all	Limpar tudo
Clear all Lab data (overrides, switch, recordings)	Limpar todos os dados do Lab (substituições, interruptor, gravações)
Clear all suggested accounts	Limpar todas as contas sugeridas
Clear the recent events, saved crash reports and the hook status above.	Limpa os eventos recentes, os relatórios de falha salvos e o estado dos ganchos acima.
Clear diagnostic data	Limpar os dados de diagnóstico
Clear display	Tela limpa
Clear display delay	Espera para limpar a tela
Clear preset	Limpar predefinição
Clear search	Limpar a busca
Clear seen videos	Limpar os vídeos vistos
Clear the search	Limpar a pesquisa
Cleared. Tap to undo before TikTok closes.	Apagados. Toque para desfazer antes de o TikTok fechar.
Clearing	Limpando
Clearing suggested accounts	Limpando as contas sugeridas
Clearing, %1$d so far	Limpando, %1$d até agora
Close	Fechar
Comma separated account handles or user ids. Videos from these accounts are always hidden. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name.	Nomes de usuário ou ids separados por vírgula. Os vídeos dessas contas são sempre escondidos. Uma entrada entre barras, como /^news_/, é um padrão comparado com o nome de usuário e com o nome de exibição.
Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries.	Códigos de país separados por vírgula, como GB, IE. Vídeos publicados de qualquer outro lugar ficam escondidos. Deixe vazio para todos os países.
Comma separated country codes. Videos posted from these are hidden, whatever the list above says.	Códigos de país separados por vírgula. Vídeos publicados a partir deles ficam escondidos, não importa o que a lista acima diga.
Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above.	Lista separada por vírgula de outros títulos de linha da caixa de entrada para esconder, com correspondência exata. Use para o que não estiver acima.
Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens.	Nomes separados por vírgula, exatamente como a folha de compartilhamento mostra: amigos da linha Enviar para, destinos como Facebook e ações como Criar grupo ou Repostar. Chaves estáveis como copy, save e dislike também funcionam antes de a folha abrir.
Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.	Ids de som separados por vírgula, registrados pelo botão de som do player. Tire um para desbloquear.
Comma separated usernames or display names whose comments are hidden.	Nomes de usuário ou nomes de exibição separados por vírgula cujos comentários ficam escondidos.
Comma separated words or phrases. Videos whose caption matches are hidden. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Palavras ou frases separadas por vírgula. Vídeos cuja legenda combinar são escondidos. Maiúsculas e minúsculas não importam. Duas frases entre aspas podem ser juntadas: "a" & "b" pede as duas, "a" !& "b" pede a primeira sem a segunda.
Comma separated words to match against a sound's name, like saxophone. Case does not matter.	Palavras separadas por vírgula para comparar com o nome de um som, como saxofone. Maiúsculas e minúsculas não importam.
Comma separated. A comment is hidden if its text contains any of them. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Separadas por vírgula. Um comentário fica escondido se o texto tiver qualquer uma delas. Maiúsculas e minúsculas não importam. Duas frases entre aspas podem ser juntadas: "a" & "b" pede as duas, "a" !& "b" pede a primeira sem a segunda.
Comment media filename	Nome do arquivo da mídia do comentário
Comments	Comentários
Comments aren't available for this video	Os comentários não estão disponíveis para este vídeo
Comments beside the video	Comentários ao lado do vídeo
Compare gate reads with their previous values.	Compara as leituras dos gates com os valores anteriores.
Completed an interrupted settings change. Restart TikTok to apply this.	Uma mudança de configuração interrompida foi concluída. Reinicie o TikTok para aplicar.
Config	Configuração
Config (Settings Manager)	Configuração (Settings Manager)
Confirm before a quick repost	Confirmar antes de um repost rápido
Confirm before following	Confirmar antes de seguir
Confirm before liking	Confirmar antes de curtir
Confirm before liking a comment	Confirmar antes de curtir um comentário
Confirm before liking a story	Confirmar antes de curtir um story
Confirm before sending to a friend	Confirmar antes de enviar para um amigo
Continue supported videos from where you stopped when you scroll back to them.	Continuar os vídeos compatíveis de onde você parou quando voltar a eles.
Controls	Controles
Copied feature gate report	Relatório de gates copiado
Copy a quick report or save the full report as a file.	Copie um relatório rápido ou salve o relatório completo como arquivo.
Copy comments without username	Copiar comentários sem o nome de usuário
Copy only the comment text when using TikTok's copy comment action.	Copiar só o texto do comentário ao usar a ação de copiar comentário do TikTok.
Copy quick report	Copiar relatório rápido
Copy report	Copiar relatório
Copy the sound link	Copiar o link do som
Copy the video link	Copiar o link do vídeo
Couldn't change the Lab settings. Try again.	Não foi possível alterar as configurações do Lab. Tente de novo.
Couldn't clear the suggested accounts. Reopen the Inbox and try again.	Não foi possível limpar as contas sugeridas. Abra a caixa de entrada de novo e tente outra vez.
Couldn't copy the report. Use Save JSON instead.	Não foi possível copiar o relatório. Use Salvar JSON no lugar.
Couldn't open settings search. Reopen settings and try again.	Não foi possível abrir a busca de configurações. Abra as configurações de novo e tente outra vez.
Couldn't open that settings section. Reopen settings and try again.	Não foi possível abrir essa seção de configurações. Abra as configurações de novo e tente outra vez.
Couldn't open the file picker to export. Try again.	Não foi possível abrir o seletor de arquivos para exportar. Tente de novo.
Couldn't open the file picker to import. Try again.	Não foi possível abrir o seletor de arquivos para importar. Tente de novo.
Couldn't put back the diagnostic data. Try again.	Não foi possível trazer de volta os dados de diagnóstico. Tente de novo.
Couldn't read who posted this comment. Open their profile and block them there.	Não foi possível ler quem publicou este comentário. Abra o perfil da pessoa e bloqueie por lá.
Couldn't reset this override. Try again.	Não foi possível redefinir esta substituição. Tente de novo.
Couldn't restore the settings. Try again.	Não foi possível restaurar as configurações. Tente de novo.
Couldn't save the settings backup. Try again.	Não foi possível salvar o backup das configurações. Tente de novo.
Couldn't save this override. Try again.	Não foi possível salvar esta substituição. Tente de novo.
Couldn't send the feedback. Try again shortly.	Não foi possível enviar o comentário. Tente de novo em instantes.
Couldn't start the Lab change. Try again shortly.	Não foi possível iniciar a mudança do Lab. Tente de novo em breve.
Couldn't start the report export. Try again shortly.	Não foi possível iniciar a exportação do relatório. Tente de novo em breve.
Couldn't start the settings change. Try again shortly.	Não foi possível iniciar a mudança de configurações. Tente de novo em breve.
Couldn't tell which folder to update. Choose it again.	Não deu para saber qual pasta atualizar. Escolha de novo.
Couldn't undo the clear. Try again.	Não foi possível desfazer a limpeza. Tente de novo.
Country code	Código do país
Country and network preferences	Preferências de país e de rede
Counts under the buttons	Números sob os botões
Create	Criar
Creators and sounds	Criadores e sons
Creators you hid from a video. Search the list and remove one at a time.	Criadores que você escondeu em um vídeo. Busque na lista e remova um de cada vez.
Current	Atual
Current %1$s	Atual: %1$s
Current cache unavailable: %1$s	O cache atual não está disponível: %1$s
Current state	Estado atual
Current: %1$s	Agora: %1$s
Custom SIM details	Dados de SIM personalizados
Custom value	Valor personalizado
Custom value...	Valor personalizado...
Protect external pages in TikTok's browser	Proteger páginas externas no navegador do TikTok
Daily budget	Limite diário
Daily budgets, reminders and the hold	Limites diários, lembretes e a pausa
Daily time budget	Limite diário de tempo
Daily video budget	Limite diário de vídeos
Dark	Escuro
Days to remember a video. Zero removes the age limit. History keeps at most %1$s videos.	Dias para lembrar de um vídeo. Zero tira o limite de idade. O histórico guarda no máximo %1$s vídeos.
Days. Zero keeps every age. Posts without a usable timestamp, including future posts, stay visible.	Dias. Zero aceita qualquer idade. Publicações sem uma data utilizável, inclusive as futuras, continuam visíveis.
Default	Padrão
Default playback speed	Velocidade de reprodução padrão
Device access	Acesso ao dispositivo
Device language, then original	Idioma do aparelho, depois o original
Diagnostic data cleared. Tap again to put it back.	Dados de diagnóstico apagados. Toque novamente para restaurá-los.
Diagnostic data put back	Dados de diagnóstico restaurados
Diagnostic report copied to the clipboard	Relatório de diagnóstico copiado para a área de transferência
Diagnostics	Diagnóstico
Disable	Desligar
Stop analytics and tracking	Parar a análise de uso e o rastreamento
Keep For You on a Home tap	Manter Para você ao tocar em Início
Keep For You on a pull down	Manter Para você ao puxar para baixo
Keep long press from quick sharing	Não deixar o toque longo compartilhar rápido
Keep long press from reposting	Não deixar o toque longo repostar
Disabled	Desligados
Discard edits	Descartar as edições
Dismissed %1$s suggested accounts	%1$s contas sugeridas dispensadas
Dismissed one suggested account	Uma conta sugerida dispensada
Do not start the feed on returning	Não iniciar o feed ao voltar
Do nothing	Não fazer nada
Done	Concluído
Double tap	Toque duplo
Download original photos	Baixar as fotos originais
Destination updated	Destino atualizado
Downloads	Downloads
Drag to move, release to place	Arraste para mover, solte para posicionar
Drama and Series	Drama e séries
Draw TikTok's text in your device's font instead of TikTok Sans. Icons, gift animations and the @ and # glyphs keep their own fonts. Restart TikTok to apply this.	Mostra o texto do TikTok na fonte do seu aparelho em vez da TikTok Sans. Os ícones, as animações de presentes e os símbolos @ e # mantêm a própria fonte. Reinicie o TikTok para aplicar.
Hide the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox.	Esconde a notificação que diz que alguém novo passou a seguir você antes de ela chegar à gaveta. As outras notificações ficam como estão, e o seguidor continua aparecendo na caixa de entrada.
Each area, how many of the things it looks for are in this build and how many are not.	Cada área, quantas das coisas que ela procura estão nesta build e quantas não estão.
Empty	Vazio
Empty the menu that opens when you press and hold TikTok's icon on the home screen. Turning this off asks TikTok to build them again. Tapping the icon still opens the app, and a shortcut you pinned yourself stays where you put it.	Esvaziar o menu que abre ao manter pressionado o ícone do TikTok na tela inicial. Ao desativar, o TikTok é solicitado a criá-los novamente. Tocar no ícone continua abrindo o app, e um atalho fixado por você permanece onde foi colocado.
Enable	Ligar
Log diagnostics	Registrar diagnósticos
Lock the hold speed with a pull down	Travar a velocidade de segurar puxando para baixo
Apply overrides	Aplicar as substituições
Enabled	Ligados
Enter a JSON object or array.	Digite um objeto ou uma matriz JSON.
Enter a creator handle or id	Digite um nome de usuário ou id de criador
Enter a finite number.	Digite um número finito.
Enter a number	Digite um número
Enter a number.	Digite um número.
Enter a valid structured value.	Digite um valor estruturado válido.
Enter a valid two-letter country code	Digite um código de país válido de duas letras
Enter a whole number, or one like 20K, 1.5M or 2B	Digite um número inteiro, ou um como 20K, 1.5M ou 2B
Enter a whole number.	Insira um número inteiro.
Enter true or false.	Digite true ou false.
Enter up to %1$d comma-separated speeds from %2$s to %3$s	Digite até %1$d velocidades separadas por vírgula, de %2$s a %3$s
Enter valid JSON.	Digite um JSON válido.
Entry %1$d has a field with the wrong data type.	A entrada %1$d tem um campo com o tipo de dados incorreto.
Entry %1$d is not an object.	A entrada %1$d não é um objeto.
Errors	Erros
Expand activity list	Expandir a lista de atividades
Explore	Explorar
Export diagnostic report	Exportar o relatório de diagnóstico
Export loaded values	Exportar os valores carregados
Exported %1$d loaded values	%1$d valores carregados exportados
Exported 1 loaded value	1 valor carregado exportado
Fade the feed out before the hold	Escurecer o feed antes da pausa
Feature Gate Lab	Laboratório de gates
Feature gate override reset	Substituição do gate redefinida
Feature gate override saved	Substituição do gate salva
Feed and navigation	Feed e navegação
Feed button size	Tamanho dos botões do feed
Feed filter	Filtro do feed
Feed screen	Tela do feed
Feed tabs	Abas do feed
Field %1$s can't be changed on this build. Take it out of the override, or reset the override.	O campo %1$s não pode ser alterado nesta versão. Tire-o da substituição ou redefina a substituição.
Field edits were discarded	As edições dos campos foram descartadas
Field edits were not saved	As edições dos campos não foram salvas
Files	Arquivos
Filter bottom tabs	Filtrar as abas de baixo
Filter comments by keyword	Filtrar comentários por palavra
Filter feed tabs	Filtrar as abas do feed
Filter TikTok's offline videos	Filtrar os vídeos offline do TikTok
Filter settings	Ajustes de filtros
Filter the list	Filtrar a lista
Filter: %1$s	Filtro: %1$s
Filters, translation and copy options	Filtros, tradução e opções de cópia
Find a setting by name or description	Ache uma configuração por nome ou descrição
First caller	Primeira chamada
First rejection:	Primeira rejeição:
Fit the video to the screen	Ajustar o vídeo à tela
Focus	Foco
Follow probe	Verificação de seguir
Following	Seguindo
For You	Para você
For com.deniscerri.ytdl only. Ask YTDLnis for audio or video when the save button hands it a link.	Só para com.deniscerri.ytdl. Pedir áudio ou vídeo ao YTDLnis quando o botão de salvar passar um link.
