resource_id,resource_type,key,item_qualifier,source,source_language,format_tokens,formatted,markup,en_markup,screen_hint,source_kind,en,en_status,reviewer,notes
0x7f130006,string,abc_capital_off,,OFF,en,,,,,abc,resource,OFF,source_verified,source passthrough + deterministic QA,User-visible static UI; status
0x7f130007,string,abc_capital_on,,ON,en,,,,,abc,resource,ON,source_verified,source passthrough + deterministic QA,User-visible static UI; status
0x7f130008,string,abc_menu_alt_shortcut_label,,Alt+,en,,,,,abc,resource,Alt+,source_verified,source passthrough + deterministic QA,User-visible static UI; shortcut
0x7f130009,string,abc_menu_ctrl_shortcut_label,,Ctrl+,en,,,,,abc,resource,Ctrl+,source_verified,source passthrough + deterministic QA,User-visible static UI; shortcut
0x7f13000a,string,abc_menu_delete_shortcut_label,,delete,en,,,,,abc,resource,delete,source_verified,source passthrough + deterministic QA,User-visible static UI; shortcut
0x7f13000b,string,abc_menu_enter_shortcut_label,,enter,en,,,,,abc,resource,enter,source_verified,source passthrough + deterministic QA,User-visible static UI; shortcut
0x7f13000c,string,abc_menu_function_shortcut_label,,Function+,en,,,,,abc,resource,Function+,source_verified,source passthrough + deterministic QA,User-visible static UI; shortcut
0x7f13000d,string,abc_menu_meta_shortcut_label,,Meta+,en,,,,,abc,resource,Meta+,source_verified,source passthrough + deterministic QA,User-visible static UI; shortcut
0x7f13000e,string,abc_menu_shift_shortcut_label,,Shift+,en,,,,,abc,resource,Shift+,source_verified,source passthrough + deterministic QA,User-visible static UI; shortcut
0x7f13000f,string,abc_menu_space_shortcut_label,,space,en,,,,,abc,resource,space,source_verified,source passthrough + deterministic QA,User-visible static UI; shortcut
0x7f130010,string,abc_menu_sym_shortcut_label,,Sym+,en,,,,,abc,resource,Sym+,source_verified,source passthrough + deterministic QA,User-visible static UI; shortcut
0x7f130011,string,abc_prepend_shortcut_label,,Menu+,en,,,,,abc,resource,Menu+,source_verified,source passthrough + deterministic QA,User-visible static UI; shortcut
0x7f130012,string,abc_search_hint,,Search…,en,,,,,abc,resource,Search…,source_verified,source passthrough + deterministic QA,User-visible static UI; hint
0x7f130013,string,abc_searchview_description_clear,,Clear query,en,,,,,abc,resource,Clear query,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130014,string,abc_searchview_description_query,,Search query,en,,,,,abc,resource,Search query,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130015,string,abc_searchview_description_search,,Search,en,,,,,abc,resource,Search,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130016,string,abc_searchview_description_submit,,Submit query,en,,,,,abc,resource,Submit query,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130017,string,abc_searchview_description_voice,,Voice search,en,,,,,abc,resource,Voice search,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130018,string,abc_shareactionprovider_share_with,,Share with,en,,,,,abc,resource,Share with,source_verified,source passthrough + deterministic QA,User-visible static UI; menu
0x7f130019,string,abc_shareactionprovider_share_with_application,,Share with %s,en,%s,,,,abc,resource,Share with %s,source_verified,source passthrough + deterministic QA,User-visible static UI; menu
0x7f13001a,string,abc_toolbar_collapse_description,,Collapse,en,,,,,abc,resource,Collapse,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f13001b,string,account,,アカウント,ja,,,,,account,resource,Account,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13001e,string,account_detail_show,,アカウント設定を表示,ja,,,,,account,resource,View account settings,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13001f,string,account_release_attention_button_continue_logout,,ログアウト,ja,,,,,account,resource,Log out,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130020,string,account_release_attention_button_continue_unregister,,退会,ja,,,,,account,resource,Delete account,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130021,string,account_release_attention_button_open_library,,ライブラリを開く,ja,,,,,account,resource,Open library,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130022,string,account_release_attention_message_cant_unregister,,現在お使いのアカウントは有料支払い情報があるため退会できません。プレミアム会員登録を解除し、プレミアム期間終了後に改めて行ってください。,ja,,,,,account,resource,"You can't delete your account because it currently has paid payment information. Cancel your Premium membership, then try again after the Premium period ends.",machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130023,string,account_release_attention_message_cant_unregister_with_error,,現在お使いのアカウントはエラーにより退会できません。詳しくはサポートにお問い合わせください。,ja,,,,,account,resource,You can't delete your account due to an error. Please contact support for more information.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130024,string,account_release_attention_message_cant_unregister_with_expire_format,,現在お使いのアカウントはプレミアム期間が残っているため退会できません。%s以降に改めて行ってください。,ja,%s,,,,account,resource,You can't delete your account because your Premium period is still active. Please try again after %s.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130025,string,account_release_attention_message_logout,,「ローカルリスト」へコピーしておくとログアウト後も別のアカウントで利用できます。,ja,,,,,account,resource,Copying items to “Local List” lets you use them with another account even after logging out.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130026,string,account_release_attention_message_unregister,,「ローカルリスト」へコピーしておくと退会後も別のアカウントで利用できます。,ja,,,,,account,resource,Copying items to “Local List” lets you use them with another account even after deleting your account.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130027,string,account_release_attention_open_inquiry,,お問い合わせを開く,ja,,,,,account,resource,Open contact form,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130028,string,account_release_attention_stop_subscription,,プレミアム会員登録を解除する,ja,,,,,account,resource,Cancel Premium membership,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130029,string,account_release_attention_title,,「あとで見る」「マイリスト」が失なわれますがよろしいですか？,ja,,,,,account,resource,“Watch Later” and “My List” will be lost. Are you sure?,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13002a,string,account_setting,,アカウント設定,ja,,,,,account,resource,Account settings,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13002c,string,account_setting_restricted_by_age_restriction_dialog_message,,ご登録の生年月日に基づき、現在は設定の変更が制限されています。\n登録されている生年月日は、プロフィールからご確認いただけます。,ja,,,,,account,resource,"Based on your registered date of birth, changes to your settings are currently restricted.\nYou can check your registered date of birth in your profile.",machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13002d,string,action_sign_in,,Sign in or register,en,,,,,action,resource,Sign in or register,source_verified,source passthrough + deterministic QA,User-visible static UI; action
0x7f13002e,string,action_sign_in_short,,Sign in,en,,,,,action,resource,Sign in,source_verified,source passthrough + deterministic QA,User-visible static UI; action
0x7f13002f,string,add,,追加,ja,,,,,add,resource,Add,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130030,string,add_to_following,,フォローしました。,ja,,,,,add,resource,Followed.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130031,string,add_to_library,,ライブラリに追加しました。,ja,,,,,add,resource,Added to library.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130032,string,add_to_playlist,,プレイリストに追加しました。,ja,,,,,add,resource,Added to playlist.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130033,string,age_verification_dialog_message_on_home,,※他のユーザーには公開されません,ja,,,,,age,resource,※This will not be visible to other users,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130034,string,age_verification_dialog_message_on_masked_content,,入力後にコンテンツの表示設定を変更できます。\n※他のユーザーには公開されません,ja,,,,,age,resource,You can change the content visibility settings after entering this information.\n※This will not be visible to other users,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130035,string,age_verification_dialog_negative_button_on_masked_content,,あとで,ja,,,,,age,resource,Later,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130036,string,age_verification_dialog_positive_button_on_masked_content,,保存して表示設定へ,ja,,,,,age,resource,Save and go to visibility settings,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130037,string,age_verification_dialog_title,,生年月日の入力,ja,,,,,age,resource,Enter your date of birth,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130038,string,age_verification_failed_to_verification_message,,サーバーの通信に失敗しました。\n時間をおいて再度お試しください。,ja,,,,,age,resource,Failed to connect to the server.\nPlease try again later.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130039,string,all_play,,すべて再生,ja,,,,,all,resource,Play all,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13003a,string,androidx_compose_foundation_autofill,,Autofill,en,,,,,androidx,resource,Autofill,source_verified,source passthrough + deterministic QA,User-visible static UI; ui
0x7f13003b,string,androidx_compose_ui_autofill,,Autofill,en,,,,,androidx,resource,Autofill,source_verified,source passthrough + deterministic QA,User-visible static UI; ui
0x7f13003d,string,app_feedback,,フィードバック,ja,,,,,app,resource,Feedback,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13003f,string,app_info,,ボカコレについて,ja,,,,,app,resource,About VocaColle,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130040,string,app_inquiry,,お問い合わせ,ja,,,,,app,resource,Contact us,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130042,string,app_maintenance_message,,ご迷惑をおかけしますがしばらくお待ちください。\nメンテナンスに関する情報は お知らせ をご確認ください。,ja,,,,,app,resource,We apologize for the inconvenience. Please wait a while.\nCheck Announcements for maintenance information.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130043,string,app_maintenance_reload,,再読み込み,ja,,,,,app,resource,Reload,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130044,string,app_maintenance_title,,ただいまメンテナンス中です,ja,,,,,app,resource,Currently undergoing maintenance,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130046,string,app_setting,,アプリ設定,ja,,,,,app,resource,App settings,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130047,string,app_version_info,,バージョン情報,ja,,,,,app,resource,Version information,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130049,string,bottom_navigation_home,,ホーム,ja,,,,,bottom,resource,Home,machine_verified,GPT-5.6 Luna low + deterministic QA,Verified in Waydroid
0x7f13004a,string,bottom_navigation_library,,ライブラリ,ja,,,,,bottom,resource,Library,machine_verified,GPT-5.6 Luna low + deterministic QA,Verified in Waydroid
0x7f13004b,string,bottom_navigation_mv_medley,,MVメドレー,ja,,,,,bottom,resource,Music video medley,machine_verified,GPT-5.6 Luna low + deterministic QA,Verified in Waydroid
0x7f13004c,string,bottom_navigation_ranking,,ランキング,ja,,,,,bottom,resource,Rankings,machine_verified,GPT-5.6 Luna low + deterministic QA,Verified in Waydroid
0x7f13004d,string,bottom_navigation_search,,検索,ja,,,,,bottom,resource,Search,machine_verified,GPT-5.6 Luna low + deterministic QA,Verified in Waydroid
0x7f13004f,string,bottomsheet_action_collapse,,Collapse the bottom sheet,en,,,,,bottomsheet,resource,Collapse the bottom sheet,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130050,string,bottomsheet_action_expand,,Expand the bottom sheet,en,,,,,bottomsheet,resource,Expand the bottom sheet,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130051,string,bottomsheet_action_expand_halfway,,Expand halfway,en,,,,,bottomsheet,resource,Expand halfway,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130052,string,bottomsheet_drag_handle_content_description,,Drag handle,en,,,,,bottomsheet,resource,Drag handle,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130053,string,cache,,キャッシュ,ja,,,,,cache,resource,Cache,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130054,string,cache_all_delete,,キャッシュしたコンテンツを削除,ja,,,,,cache,resource,Delete cached content,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130055,string,cache_all_delete_dialog_message,,キャッシュをすべて削除しますか？,ja,,,,,cache,resource,Delete all cached content?,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130057,string,cache_capacity,,キャッシュ制限,ja,,,,,cache,resource,Cache limit,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130058,string,cache_capacity_annotation,,キャッシュできる容量を制限します。,ja,,,,,cache,resource,Limit the amount of content that can be cached.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13005b,string,cache_high_quality_audio,,高音質でキャッシュ,ja,,,,,cache,resource,Cache in high quality,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13005c,string,cache_high_quality_audio_annotation,,高音質非対応の作品は標準の音質でキャッシュされます。既にキャッシュされた作品はキャッシュしたときの音質で引き続き再生されます。,ja,,,,,cache,resource,Content that doesn't support high-quality audio will be cached in standard quality. Content already cached will continue to play in the quality used when it was cached.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13005d,string,cache_notification_aborted_cache_capacity_limit_big_text,,設定上限に到達したためキャッシュを停止しました,ja,,,,,cache,resource,Caching stopped because the set limit was reached,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13005e,string,cache_notification_action_title,,キャッシュを停止する,ja,,,,,cache,resource,Stop caching,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13005f,string,cache_notification_complete_big_content_title,,キャッシュ完了,ja,,,,,cache,resource,Caching complete,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130060,string,cache_notification_complete_big_text,,キャッシュが完了しました,ja,,,,,cache,resource,Caching is complete,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130062,string,cache_notification_processing_big_content_title,,キャッシュ取得中の作品,ja,,,,,cache,resource,Content being cached,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130063,string,cache_notification_processing_big_text,,残り %d作品,ja,%d,,,,cache,resource,%d works remaining,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130064,string,cache_notification_session_count_limited_big_text,,節約視聴リストへの追加に失敗しました。\nしばらくしてからもう一度お試しください。,ja,,,,,cache,resource,Failed to add to the data-saving watchlist.\nPlease try again later.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130065,string,cache_notification_stop_big_content_title,,キャッシュ停止,ja,,,,,cache,resource,Caching stopped,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130066,string,cache_notification_stop_big_text,,キャッシュを停止しました,ja,,,,,cache,resource,Caching stopped,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130068,string,cache_notification_suspend_big_content_title,,キャッシュ中断中,ja,,,,,cache,resource,Caching paused,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130069,string,cache_notification_suspend_big_text,,アプリ設定および通信環境をご確認ください,ja,,,,,cache,resource,Check your app settings and network connection,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13006a,string,cache_wifi_only,,Wi-Fi接続時のみキャッシュ,ja,,,,,cache,resource,Cache only over Wi-Fi,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13006b,string,cache_wifi_only_annotation,,キャッシュ時の通信量を節約します。,ja,,,,,cache,resource,Reduce data usage while caching.,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13006c,string,call_notification_answer_action,,Answer,en,,,,,call,resource,Answer,source_verified,source passthrough + deterministic QA,User-visible static UI; notification action
0x7f13006d,string,call_notification_answer_video_action,,Video,en,,,,,call,resource,Video,source_verified,source passthrough + deterministic QA,User-visible static UI; notification action
0x7f13006e,string,call_notification_decline_action,,Decline,en,,,,,call,resource,Decline,source_verified,source passthrough + deterministic QA,User-visible static UI; call action
0x7f13006f,string,call_notification_hang_up_action,,Hang Up,en,,,,,call,resource,Hang Up,source_verified,source passthrough + deterministic QA,User-visible static UI; call action
0x7f130070,string,call_notification_incoming_text,,Incoming call,en,,,,,call,resource,Incoming call,source_verified,source passthrough + deterministic QA,User-visible static UI; call notification
0x7f130071,string,call_notification_ongoing_text,,Ongoing call,en,,,,,call,resource,Ongoing call,source_verified,source passthrough + deterministic QA,User-visible static UI; call notification
0x7f130072,string,call_notification_screening_text,,Screening an incoming call,en,,,,,call,resource,Screening an incoming call,source_verified,source passthrough + deterministic QA,User-visible static UI; call notification
0x7f130073,string,cancel,,キャンセル,ja,,,,,cancel,resource,Cancel,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130074,string,channel,,チャンネル,ja,,,,,channel,resource,Channel,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130075,string,character_counter_content_description,,Characters entered %1$d of %2$d,en,%1$d|%2$d,false,,,character,resource,Characters entered %1$d of %2$d,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130076,string,character_counter_overflowed_content_description,,Character limit exceeded %1$d of %2$d,en,%1$d|%2$d,false,,,character,resource,Character limit exceeded %1$d of %2$d,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130078,string,clear_text_end_icon_content_description,,Clear text,en,,,,,clear,resource,Clear text,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f130079,string,close,,閉じる,ja,,,,,close,resource,Close,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13007a,string,close_drawer,,Close navigation menu,en,,,,,close,resource,Close navigation menu,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f13007b,string,close_sheet,,Close sheet,en,,,,,close,resource,Close sheet,source_verified,source passthrough + deterministic QA,User-visible static UI; accessibility
0x7f13007e,string,common_google_play_services_enable_button,,Enable,en,,,,,common,resource,Enable,source_verified,source passthrough + deterministic QA,User-visible static UI; button
0x7f13007f,string,common_google_play_services_enable_text,,%1$s won't work unless you enable Google Play services.,en,%1$s,,,,common,resource,%1$s won't work unless you enable Google Play services.,source_verified,source passthrough + deterministic QA,User-visible static UI; error dialog
0x7f130080,string,common_google_play_services_enable_title,,Enable Google Play services,en,,,,,common,resource,Enable Google Play services,source_verified,source passthrough + deterministic QA,User-visible static UI; dialog title
0x7f130081,string,common_google_play_services_install_button,,Install,en,,,,,common,resource,Install,source_verified,source passthrough + deterministic QA,User-visible static UI; button
0x7f130082,string,common_google_play_services_install_text,,"%1$s won't run without Google Play services, which are missing from your device.",en,%1$s,,,,common,resource,"%1$s won't run without Google Play services, which are missing from your device.",source_verified,source passthrough + deterministic QA,User-visible static UI; error dialog
0x7f130083,string,common_google_play_services_install_title,,Get Google Play services,en,,,,,common,resource,Get Google Play services,source_verified,source passthrough + deterministic QA,User-visible static UI; dialog title
0x7f130084,string,common_google_play_services_notification_channel_name,,Google Play services availability,en,,,,,common,resource,Google Play services availability,source_verified,source passthrough + deterministic QA,User-visible static UI; notification channel
0x7f130085,string,common_google_play_services_notification_ticker,,Google Play services error,en,,,,,common,resource,Google Play services error,source_verified,source passthrough + deterministic QA,User-visible static UI; notification
0x7f130086,string,common_google_play_services_unknown_issue,,%1$s is having trouble with Google Play services. Please try again.,en,%1$s,,,,common,resource,%1$s is having trouble with Google Play services. Please try again.,source_verified,source passthrough + deterministic QA,User-visible static UI; error message
0x7f130087,string,common_google_play_services_unsupported_text,,"%1$s won't run without Google Play services, which are not supported by your device.",en,%1$s,,,,common,resource,"%1$s won't run without Google Play services, which are not supported by your device.",source_verified,source passthrough + deterministic QA,User-visible static UI; error dialog
0x7f130088,string,common_google_play_services_update_button,,Update,en,,,,,common,resource,Update,source_verified,source passthrough + deterministic QA,User-visible static UI; button
0x7f130089,string,common_google_play_services_update_text,,%1$s won't run unless you update Google Play services.,en,%1$s,,,,common,resource,%1$s won't run unless you update Google Play services.,source_verified,source passthrough + deterministic QA,User-visible static UI; error dialog
0x7f13008a,string,common_google_play_services_update_title,,Update Google Play services,en,,,,,common,resource,Update Google Play services,source_verified,source passthrough + deterministic QA,User-visible static UI; dialog title
0x7f13008b,string,common_google_play_services_updating_text,,"%1$s won't run without Google Play services, which are currently updating.",en,%1$s,,,,common,resource,"%1$s won't run without Google Play services, which are currently updating.",source_verified,source passthrough + deterministic QA,User-visible static UI; error dialog
0x7f13008c,string,common_google_play_services_wear_update_text,,New version of Google Play services needed. It will update itself shortly.,en,,,,,common,resource,New version of Google Play services needed. It will update itself shortly.,source_verified,source passthrough + deterministic QA,User-visible static UI; status message
0x7f13008d,string,common_info_skip,,スキップ,ja,,,,,common,resource,Skip,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13008e,string,common_open_on_phone,,Open on phone,en,,,,,common,resource,Open on phone,source_verified,source passthrough + deterministic QA,User-visible static UI; button
0x7f13008f,string,common_rounded_meta_data_text_digit_one_hundred_million,,億,ja,,,,,common,resource,100 million,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130090,string,common_rounded_meta_data_text_digit_ten_thousand,,万,ja,,,,,common,resource,10K,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130091,string,common_signin_button_text,,Sign in,en,,,,,common,resource,Sign in,source_verified,source passthrough + deterministic QA,User-visible static UI; button
0x7f130092,string,common_signin_button_text_long,,Sign in with Google,en,,,,,common,resource,Sign in with Google,source_verified,source passthrough + deterministic QA,User-visible static UI; button
0x7f130093,string,complete,,完了,ja,,,,,complete,resource,Done,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130097,string,continuous_play,,連続再生,ja,,,,,continuous,resource,Continuous play,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130098,string,copy,,コピー,ja,,,,,copy,resource,Copy,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f130099,string,copy_toast_msg,,Link copied to clipboard,en,,,,,copy,resource,Link copied to clipboard,source_verified,source passthrough + deterministic QA,User-visible static UI; toast
0x7f13009a,string,date_more_than_a_month_ago,,1ヶ月以上前,ja,,,,,date,resource,More than a month ago,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13009b,string,date_today,,今日,ja,,,,,date,resource,Today,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
0x7f13009c,string,date_within_a_month,,1ヶ月,ja,,,,,date,resource,1 month,machine_verified,GPT-5.6 Luna low + deterministic QA,Full static UI pass; translated and second-pass reviewed
