%1$d minutes left	Restam %1$d minutos
%1$d setting was not in that file and was left as it is.	%1$d configuração não estava nesse arquivo e ficou como estava.
%1$d settings were not in that file and were left as they are.	%1$d configurações não estavam nesse arquivo e ficaram como estavam.
%1$s and above	%1$s ou superior
%1$s destinations must start with %2$s	Os destinos de %1$s precisam começar com %2$s
%1$s isn't installed or doesn't take links	%1$s não está instalado ou não aceita links
%1$s left	Resta %1$s
%1$s on	%1$s ativados
%1$s to %2$s	De %1$s a %2$s
Comma separated. A comment is hidden if its text contains any of them. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Separadas por vírgula. Um comentário fica escondido se o texto tiver qualquer uma delas. Maiúsculas e minúsculas não importam. Duas frases entre aspas podem ser juntadas: "a" & "b" pede as duas, "a" !& "b" pede a primeira sem a segunda.
Comment media filename	Nome do arquivo da mídia do comentário
Comments and translation	Comentários e tradução
Comments aren't available for this video	Os comentários não estão disponíveis para este vídeo
Comments beside the video	Comentários ao lado do vídeo
Compare gate reads with their previous values. Last recording: %1$d gates.	Compara as leituras dos gates com os valores anteriores. Última gravação: %1$d gates.
Completed an interrupted settings change. Restart TikTok to apply it.	Uma mudança de configuração interrompida foi concluída. Reinicie o TikTok para aplicá-la.
Confirm before following	Confirmar antes de seguir
Confirm before liking	Confirmar antes de curtir
Confirm before sending to a friend	Confirmar antes de enviar para um amigo
Continue supported videos from where you stopped when you scroll back to them.	Continuar os vídeos compatíveis de onde você parou quando voltar a eles.
Copied feature gate report	Relatório de gates copiado
Copy a quick report or save the full report as a file.	Copie um relatório rápido ou salve o relatório completo como arquivo.
Copy comments without username	Copiar comentários sem o nome de usuário
Copy only the comment text when using TikTok's copy comment action.	Copiar só o texto do comentário ao usar a ação de copiar comentário do TikTok.
Copy report	Copiar relatório
Copy the sound link	Copiar o link do som
Copy the video link	Copiar o link do vídeo
Could not block %1$s	Não foi possível bloquear %1$s
Could not block %1$s: %2$s	Não foi possível bloquear %1$s: %2$s
Could not confirm block for %1$s	Não foi possível confirmar o bloqueio de %1$s
Could not confirm unblock for %1$s	Não foi possível confirmar o desbloqueio de %1$s
Could not copy report. Use Save JSON.	Não foi possível copiar o relatório. Use Salvar JSON.
Could not open settings search	Não foi possível abrir a busca de configurações
Could not open settings section	Não foi possível abrir a seção de configurações
Could not put back the seen video history. Try again.	Não foi possível trazer de volta o histórico de vídeos vistos. Tente de novo.
Could not read who posted this comment	Não foi possível ler quem publicou este comentário
Could not restore settings.	Não foi possível restaurar as configurações.
Could not save settings backup.	Não foi possível salvar o backup das configurações.
Could not tell which folder to update. Choose it again.	Não deu para saber qual pasta atualizar. Escolha de novo.
Could not unblock %1$s	Não foi possível desbloquear %1$s
Could not unblock %1$s: %2$s	Não foi possível desbloquear %1$s: %2$s
Country ISO	ISO do país
Country and network preferences	Preferências de país e de rede
Creator handle or id	Nome de usuário ou id do criador
Creators hidden from later feed batches by the player action. Search the list and remove one entry at a time.	Criadores escondidos dos próximos lotes do feed pela ação do player. Busque na lista e tire uma entrada de cada vez.
Current: %1$s	Agora: %1$s
Current: %1$s %2$s	Agora: %1$s %2$s
Custom SIM details	Dados de SIM personalizados
Empty the menu that opens when you press and hold TikTok's icon on the home screen. Turning this off asks TikTok to build them again. Tapping the icon still opens the app, and a shortcut you pinned yourself stays where you put it.	Esvaziar o menu que abre ao manter pressionado o ícone do TikTok na tela inicial. Ao desativar, o TikTok é solicitado a criá-los novamente. Tocar no ícone continua abrindo o app, e um atalho fixado por você permanece onde foi colocado.
Hide the launcher shortcuts	Ocultar os atalhos do inicializador
Use your own offline videos limit	Usar o seu próprio limite de vídeos offline
Daily time budget	Limite diário de tempo
Daily video budget	Limite diário de vídeos
Dark	Escuro
Days to remember a video. Zero removes the age limit. History keeps at most 10,000 videos.	Dias para lembrar de um vídeo. Zero tira o limite de idade. O histórico guarda no máximo 10.000 vídeos.
Days. Zero keeps every age. Posts without a usable timestamp, including future posts, stay visible.	Dias. Zero aceita qualquer idade. Publicações sem uma data utilizável, inclusive as futuras, continuam visíveis.
Default playback speed	Velocidade de reprodução padrão
Delete the local record of the videos you have watched.	Apaga o registro local dos vídeos que você já viu.
Device language, then original	Idioma do aparelho, depois o original
Diagnostics	Diagnóstico
Disable analytics and tracking	Desligar a análise de uso e o rastreamento
Disable the long press quick share	Desligar o compartilhamento rápido no toque longo
Disable the long press repost	Desligar o repost no toque longo
Dismiss	Dispensar
Dismissed %1$s suggested accounts	%1$s contas sugeridas dispensadas
Dismissed one suggested account	Uma conta sugerida dispensada
Do not start the feed on returning	Não iniciar o feed ao voltar
Do nothing	Não fazer nada
Double tap	Toque duplo
Download original photos	Baixar as fotos originais
Download path updated	Pasta de download atualizada
Downloads	Downloads
Drag to move, release to place	Arraste para mover, solte para posicionar
Drop the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox.	Descarta a notificação que diz que alguém novo passou a seguir você antes de ela chegar à gaveta. As outras notificações ficam como estão, e o seguidor continua aparecendo na caixa de entrada.
Each area, how many of the things it looks for are in this build and how many are not.	Cada área, quantas das coisas que ela procura estão nesta build e quantas não estão.
Enable diagnostic logging	Ligar o registro de diagnóstico
Enable hold-and-slide 2x lock	Ligar a trava de 2x segurando e deslizando
Enter a creator handle or id	Digite um nome de usuário ou id de criador
Enter a valid two-letter country code	Digite um código de país válido de duas letras
Enter a whole number, or one like 20K, 1.5M or 2B	Digite um número inteiro, ou um como 20K, 1.5M ou 2B
Enter up to 8 comma-separated speeds from 0.5 to 3	Digite até 8 velocidades separadas por vírgula, de 0.5 a 3
%1$d areas were checked and everything they need is here.	%1$d áreas foram verificadas e tudo de que precisam está aqui.
Expand activity list	Expandir a lista de atividades
Export diagnostic report	Exportar o relatório de diagnóstico
Fade the feed out before the hold	Escurecer o feed antes da pausa
Feature Gate Lab	Laboratório de gates
Feed filter	Filtro do feed
Feed navigation	Navegação do feed
Filter bottom tabs	Filtrar as abas de baixo
Filter comments by keyword	Filtrar comentários por palavra
Filter feed tabs	Filtrar as abas do feed
Filter offline fallback videos	Filtrar os vídeos offline de reserva
Filter the list	Filtrar a lista
Filters, translation and copy options	Filtros, tradução e opções de cópia
Find a setting by title or description	Ache uma configuração por título ou descrição
Fit the video to the screen	Ajustar o vídeo à tela
This phone has no folder picker. Type the folder into the row instead.	Este celular não tem seletor de pastas. Digite a pasta na linha.
For You	Para você
For com.deniscerri.ytdl only. Ask YTDLnis for audio or video when the save button hands it a link.	Só para com.deniscerri.ytdl. Pedir áudio ou vídeo ao YTDLnis quando o botão de salvar passar um link.
For com.deniscerri.ytdl only. Hide its download card and start the handoff in the background.	Só para com.deniscerri.ytdl. Esconder o card de download dele e começar a passagem em segundo plano.
Forget seen videos after	Esquecer os vídeos vistos depois de
Forget what has been counted today and end any hold. The budgets themselves are left alone.	Esquecer o que foi contado hoje e encerrar qualquer pausa. Os limites em si ficam como estão.
Full comment sort options	Opções completas de ordenação dos comentários
GIF	GIF
Ghost mode	Modo fantasma
Hidden %1$s locally	%1$s escondido no aparelho
Hidden commenters	Comentaristas escondidos
Hidden creators	Criadores escondidos
Hide AI generated videos	Esconder vídeos gerados por IA
Hide CAPTCHA popups	Esconder as janelas de CAPTCHA
Hide LIVE replays	Esconder as reprises de LIVE
Hide the LIVE button	Esconder o botão de LIVE
Hide Series	Esconder Séries
Hide Tako AI	Esconder o Tako AI
Hide TikTok Shop	Esconder o TikTok Shop
Hide TikTok Shop posts from the feed.	Esconder as publicações do TikTok Shop no feed.
Hide TikTok Shop updates and coupon messages.	Esconder as novidades do TikTok Shop e as mensagens de cupom.
Hide TikTok Tako	Esconder o TikTok Tako
Hide TikTok's exposed quick emoji row in supported comment inputs.	Esconder a linha de emojis rápidos que o TikTok deixa à mostra nos campos de comentário compatíveis.
Hide activity	Esconder a atividade
Hide activity status	Esconder o status de atividade
Hide the add people icon	Esconder o ícone de adicionar pessoas
Hide archive	Esconder o arquivo
Hide bottom tabs TikTok adds later unless you allow them.	Esconder as abas de baixo que o TikTok adicionar depois, a menos que você as permita.
Hide browsing and LIVE puzzle dialogs. Login, account verification and any puzzle raised over a follow, like, comment or repost stay visible.	Esconder os quebra-cabeças de navegação e de LIVE. Os de login, os de verificação de conta e qualquer um que apareça ao seguir, curtir, comentar ou repostar continuam visíveis.
Hide comment popup ads	Esconder os anúncios pop-up dos comentários
Hide comments made of an image or a sticker instead of words.	Esconder os comentários feitos com imagem ou sticker em vez de palavras.
Hide comments that contain any of the words below, or that come from the accounts below.	Esconder os comentários que tenham qualquer uma das palavras abaixo, ou que venham das contas abaixo.
Hide controls after each video starts. Tap to restore them.	Esconder os controles depois que cada vídeo começa. Toque para trazê-los de volta.
Hide conversations	Esconder as conversas
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still switched on.	Esconder todas as conversas de mensagens diretas. Deixa a caixa de entrada vazia, tirando o que você ainda tiver ligado.
Hide the follow button on the feed	Esconder o botão de seguir do feed
Hide feed save button	Esconder o botão de salvar do feed
Hide feed search button	Esconder o botão de busca do feed
Hide floating promotion badges, coins, and timer banners on the homepage.	Esconder os selos promocionais flutuantes, as moedas e os banners com contagem regressiva da página inicial.
Hide floating promotions	Esconder as promoções flutuantes
Hide photo posts	Esconder as publicações de fotos
Hide the photo posts from the feed.	Esconder as publicações de fotos do feed.
Hide inserted cards	Esconder os cards inseridos
Hide LIVE videos	Esconder os vídeos LIVE
Hide the LIVE videos from the feed.	Esconder os vídeos LIVE do feed.
Hide message requests	Esconder as solicitações de mensagem
Hide message streaks	Esconder as sequências de mensagens
Hide new follower notifications	Esconder as notificações de novos seguidores
Hide new followers	Esconder os novos seguidores
Hide paid partnerships	Esconder as parcerias pagas
Hide people and options by name	Esconder pessoas e opções por nome
Hide picture comments	Esconder os comentários com imagem
Hide playlist videos	Esconder os vídeos de playlists
Hide promotional music	Esconder a música promocional
Hide quick comment reactions	Esconder as reações rápidas aos comentários
Hide rows by title	Esconder linhas por título
Hide search	Esconder a busca
Hide search suggestions	Esconder as sugestões de busca
Hide sharing apps	Esconder os apps de compartilhamento
Hide stories tray	Esconder a bandeja de stories
Hide story	Esconder os stories
Hide the stories from the feed.	Esconder os stories do feed.
Hide suggested account rows.	Esconder as linhas de contas sugeridas.
Hide suggested accounts	Esconder as contas sugeridas
Hide surveys	Esconder as enquetes
Hide tabs TikTok adds later unless you allow them.	Esconder as abas que o TikTok adicionar depois, a menos que você as permita.
Hide the "Search this image" prompt TikTok shows over videos when it spots something to shop for.	Esconder o aviso "Buscar esta imagem" que o TikTok coloca sobre os vídeos quando vê algo para vender.
Hide the Activity row of likes and comments on your posts.	Esconder a linha de Atividade com as curtidas e os comentários nas suas publicações.
Hide the Archive row.	Esconder a linha de Arquivo.
Hide the LIVE button in the top left corner of the feed.	Esconder o botão de LIVE no canto superior esquerdo do feed.
Hide the Message requests row.	Esconder a linha de Solicitações de mensagem.
Hide the New followers row.	Esconder a linha de Novos seguidores.
Hide the Send to row	Esconder a linha Enviar para
Hide the Tako AI feed bubble above the profile button.	Esconder a bolha do Tako AI no feed, acima do botão de perfil.
Hide the TikTok Tako assistant conversation.	Esconder a conversa com o assistente TikTok Tako.
Hide the right column	Esconder a coluna da direita
Hide the activity status control in the Inbox header.	Esconder o controle de status de atividade no topo da caixa de entrada.
Hide the add people icon in the Inbox header.	Esconder o ícone de adicionar pessoas no topo da caixa de entrada.
Hide the arrow and its count in the right column.	Esconder a seta e o número dela na coluna da direita.
Hide the avatar and follow button	Esconder a foto e o botão de seguir
Hide the caption	Esconder a legenda
Hide the comments button	Esconder o botão de comentários
Hide the counts on the right column	Esconder os números da coluna da direita
Hide the creator's picture and the plus button at the top of the right column. Hide the follow button on the feed hides the plus button on its own.	Esconder a foto do criador e o botão de mais no topo da coluna da direita. Esconder o botão de seguir do feed esconde só o botão de mais.
Hide the description under the creator's name on the feed.	Esconder a descrição embaixo do nome do criador no feed.
Hide the event badge	Esconder o selo de evento
Hide the favorite button	Esconder o botão de favoritos
Hide the favorite button and its count in the right column.	Esconder o botão de favoritos e o número dele na coluna da direita.
Hide the floating promotional badge over the feed.	Esconder o selo promocional flutuante sobre o feed.
Hide the friend recommendation card and the other cards TikTok slots between videos.	Esconder o card de amigos recomendados e os outros cards que o TikTok encaixa entre os vídeos.
Hide the heart and its count in the right column.	Esconder o coração e o número dele na coluna da direita.
Hide the like button	Esconder o botão de curtir
Hide the music disc	Esconder o disco de música
Hide the music line	Esconder a linha da música
Hide the numbers under the like, comment, favorite and share buttons. The buttons stay.	Esconder os números embaixo dos botões de curtir, comentar, favoritar e compartilhar. Os botões ficam.
Hide the playlist bar	Esconder a barra da playlist
Hide the playlist bar along the bottom of videos that belong to a series.	Esconder a barra da playlist na parte de baixo dos vídeos que fazem parte de uma série.
Hide the plus button under the creator's picture in the right column. Hide the avatar and follow button hides the picture with it.	Esconder o botão de mais embaixo da foto do criador na coluna da direita. Esconder a foto e o botão de seguir leva a foto junto.
Hide the question cards TikTok slides over a video near its end.	Esconder os cards com perguntas que o TikTok desliza sobre o vídeo perto do fim.
Hide the row of story avatars across the top of the Inbox.	Esconder a linha de fotos de stories no topo da caixa de entrada.
Hide the save button in the right column.	Esconder o botão de salvar na coluna da direita.
Hide the search button in the top right corner of the feed.	Esconder o botão de busca no canto superior direito do feed.
Hide the search icon in the Inbox header.	Esconder o ícone de busca no topo da caixa de entrada.
Hide the searches TikTok offers before you type. Your own search history stays.	Esconder as buscas que o TikTok propõe antes de você digitar. Seu próprio histórico de busca fica.
Hide the share button	Esconder o botão de compartilhar
Hide the speech bubble and its count in the right column.	Esconder o balão e o número dele na coluna da direita.
Hide the spinning music cover and the track name beside the caption.	Esconder a capa giratória da música e o nome da faixa ao lado da legenda.
Hide the spinning record at the bottom of the right column.	Esconder o disco giratório na parte de baixo da coluna da direita.
Hide the status bar	Esconder a barra de status
Hide the whole column on the right, from the avatar down to the music disc.	Esconder a coluna da direita inteira, da foto até o disco de música.
Hide this creator locally	Esconder este criador no aparelho
Hide verified accounts	Esconder as contas verificadas
Hide video actions	Esconder as ações do vídeo
Hide videos carrying TikTok's AI generated label.	Esconder os vídeos com o rótulo de gerado por IA do TikTok.
Hide videos marked as paid partnership or branded content.	Esconder os vídeos marcados como parceria paga ou conteúdo de marca.
Hide videos posted as part of a playlist.	Esconder os vídeos publicados dentro de uma playlist.
Hide videos posted by verified accounts.	Esconder os vídeos publicados por contas verificadas.
Hide videos that belong to a paid Series.	Esconder os vídeos que fazem parte de uma Série paga.
Hide videos with a lot of views and few likes. Lower numbers are stricter, zero turns the rule off, and one video is kept back if a whole batch would go.	Esconder os vídeos com muitas visualizações e poucas curtidas. Números mais baixos são mais rígidos, zero desliga a regra, e um vídeo é guardado se um lote inteiro fosse embora.
Hide videos you have already seen	Esconder os vídeos que você já viu
Hide visual search prompt	Esconder o aviso de busca visual
Highest	A mais alta
Hold the feed after the budget	Pausar o feed depois do limite
Home	Início
Hook status	Verificação de recursos
How far each edge press moves the video.	Quanto o vídeo anda a cada toque na borda.
Hushfeed cannot read the creator pattern %1$s	O Hushfeed não consegue ler o padrão de criador %1$s
Hushfeed filtered this batch	O Hushfeed filtrou este lote
Hushfeed hid a TikTok puzzle. Turn off Hide CAPTCHA popups if something stops working.	O Hushfeed escondeu um quebra-cabeça do TikTok. Desligue Esconder as janelas de CAPTCHA se alguma coisa parar de funcionar.
Ignore the creator's choice so the Duet and Stitch entries appear. Everything else the app checks still applies, and whether the upload is accepted is the server's decision.	Ignorar a escolha do criador para que as entradas de Dueto e Costura apareçam. Todo o resto que o app verifica continua valendo, e se o envio é aceito quem decide é o servidor.
Inbox	Caixa de entrada
Included diagnostics	Diagnóstico incluído
Includes all diagnostic events.	Inclui todos os eventos de diagnóstico.
Inserted cards	Cards inseridos
Interface	Interface
Invalid SIM preset	Predefinição de SIM inválida
Keep a local record of what you have watched and drop those videos from later feed pages.	Guardar no aparelho um registro do que você viu e tirar esses vídeos das próximas páginas do feed.
Keep automatic advance enabled, and show TikTok's own Auto scroll action in the video panel even if your account never had it. Pauses and open dialogs still stop scrolling. Restart TikTok to apply this, then use this switch to turn it off.	Manter o avanço automático ligado e mostrar a ação Rolagem automática do TikTok no painel do vídeo mesmo que sua conta nunca tenha tido. Pausas e diálogos abertos continuam parando a rolagem. Reinicie o TikTok para aplicar e depois use esta chave para desligar.
Keep captions in clear display	Manter as legendas com a tela limpa
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.	Manter o relógio e os ícones de status fora da tela enquanto o TikTok está aberto. Deslize de cima para dar uma olhada.
Keep the screen's refresh rate	Manter a taxa de atualização da tela
Kept to %1$s, the nearest value this row allows	Ajustado para %1$s, o valor mais próximo que esta linha aceita
LIVE replays	Reprises de LIVE
LIVE videos	Vídeos LIVE
Leave maximum empty to keep it unlimited.	Deixe o máximo vazio para ficar sem limite.
Leave the sound out of the saved video. Save the sound as well still writes the .m4a beside it if you want both.	Deixar o som fora do vídeo salvo. Salvar o som também continua escrevendo o .m4a ao lado se você quiser os dois.
Less than a minute left	Resta menos de um minuto
Let screenshots, screen recording and Circle to Search work on TikTok again. Restart TikTok to apply this.	Deixar as capturas de tela, a gravação de tela e o Círculo para pesquisar voltarem a funcionar no TikTok. Reinicie o TikTok para aplicar.
Let the Offline videos menu use your own limit instead of TikTok's fixed one. Restart TikTok to apply this.	Deixar o menu de Vídeos offline usar o seu próprio limite em vez do fixo do TikTok. Reinicie o TikTok para aplicar.
Link copied	Link copiado
Links, privacy and player tools	Links, privacidade e ferramentas do player
Locally hidden creators	Criadores escondidos no aparelho
Lock today's budget	Travar o limite de hoje
Long press	Toque longo
Lowest	A mais baixa
Make TikTok yours.	Deixe o TikTok do seu jeito.
Marked as not interested	Marcado como não tenho interesse
Match locale and timezone to country	Ajustar o idioma e o fuso horário ao país
Maximum	Máximo
Maximum post age	Idade máxima da publicação
Maximum video length	Duração máxima do vídeo
Maximum views per like	Visualizações máximas por curtida
Media	Mídia
Messages, profiles and search still work.	As mensagens, os perfis e a busca continuam funcionando.
Min/Max comments	Comentários mín./máx.
Min/Max favorites	Favoritos mín./máx.
Min/Max likes	Curtidas mín./máx.
Min/Max shares	Compartilhamentos mín./máx.
Min/Max views	Visualizações mín./máx.
Minimum	Mínimo
Never from these countries	Nunca destes países
No account to block on this video	Não há conta para bloquear neste vídeo
No account to hide on this video	Não há conta para esconder neste vídeo
No creators are hidden yet	Ainda não há criadores escondidos
No hidden creators match this search	Nenhum criador escondido combina com esta busca
No limit	Sem limite
No matching countries	Nenhum país combina
No matching settings	Nenhuma configuração combina
No preset selected	Nenhuma predefinição selecionada
No share actions have been observed yet	Nenhuma ação de compartilhamento foi vista ainda
No share actions match this search	Nenhuma ação de compartilhamento combina com esta busca
No sound to block on this video	Não há som para bloquear neste vídeo
No suggested accounts to clear	Não há contas sugeridas para limpar
Nothing has been checked yet, so there is nothing to report.	Nada foi verificado ainda, então não há o que contar.
No video selected	Nenhum vídeo selecionado
No videos remained after Hushfeed applied your feed filters to %1$d batches. Most matches: %2$s.	Não sobrou nenhum vídeo depois que o Hushfeed aplicou seus filtros do feed a %1$d lotes. A maioria combinou por: %2$s.
No videos remained after Hushfeed applied your feed filters to one batch. Most matches: %1$s.	Não sobrou nenhum vídeo depois que o Hushfeed aplicou seus filtros do feed a um lote. A maioria combinou por: %1$s.
Not blocked	Não bloqueado
Show the Not interested button	Mostrar o botão de Não tenho interesse
Not interested in this video	Não tenho interesse neste vídeo
Nothing has been looked up yet. Use the app for a moment, then come back.	Nada foi procurado ainda. Use o app um pouco e volte.
Nothing is playing to seek	Não há nada tocando para avançar
Off	Desligado
