%1$d already matched	%1$d tanesi zaten eşleşiyor
%1$d areas were checked and everything they need is here.	%1$d alan kontrol edildi ve ihtiyaç duydukları her şey burada.
%1$d fields overridden	%1$d alan geçersiz kılındı
%1$d fields will be overridden when requested	İstendiğinde %1$d alan geçersiz kılınacak
%1$d gates selected	%1$d özellik kapısı seçildi
%1$d minutes left	%1$d dakika kaldı
%1$d rejected	%1$d reddedildi
%1$d results	%1$d sonuç
%1$d results so far	Şimdiye kadar %1$d sonuç
%1$d results so far, and more not counted	Şimdiye kadar %1$d sonuç, sayılmayan başkaları da var
%1$d results, filtered to %2$s	%1$d sonuç, filtre: %2$s
%1$d setting was not in that file and was left as it is	%1$d ayar o dosyada yoktu ve olduğu gibi bırakıldı
%1$d settings were not in that file and were left as they are	%1$d ayar o dosyada yoktu ve oldukları gibi bırakıldı
%1$d unavailable	%1$d kullanılamıyor
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (TikTok değeri)
%1$s (custom, unverified)	%1$s (özel, doğrulanmamış)
%1$s (override returned)	%1$s (geçersiz kılma döndürüldü)
%1$s (will be returned when requested)	%1$s (istendiğinde döndürülecek)
%1$s / current cache only	%1$s / yalnızca mevcut önbellek
%1$s / generated registry	%1$s / oluşturulmuş kayıt defteri
%1$s / generated registry and current cache	%1$s / oluşturulmuş kayıt defteri ve mevcut önbellek
%1$s / local catalog	%1$s / yerel katalog
%1$s and above	%1$s ve üzeri
%1$s appears more than once in this file.	%1$s bu dosyada birden fazla kez geçiyor.
%1$s changed	%1$s değişti
%1$s destinations must start with %2$s	%1$s hedefleri %2$s ile başlamalı
%1$s has an invalid value. %2$s	%1$s değeri geçersiz. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s, Lab'in geçersiz kılamayacağı bir değer türü.
%1$s has type %2$s, but the file says %3$s.	%1$s türü %2$s, ama dosyada %3$s yazıyor.
%1$s is already hidden	%1$s zaten gizli
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s bir ülke kodu değil, bu yüzden hiçbir video onunla eşleşmez. GB, IE veya US gibi iki harf kullan.
%1$s is not in this Lab catalog.	%1$s bu Lab kataloğunda yok.
%1$s isn't installed or doesn't take links	%1$s yüklü değil veya bağlantı kabul etmiyor
%1$s left	%1$s kaldı
%1$s min left	%1$s dk kaldı
%1$s to %2$s	%1$s ile %2$s arası
%1$s videos left	%1$s video kaldı
%1$s was rejected. %2$s	%1$s reddedildi. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seçili
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d bulundu, %3$d eksik
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d bulundu, %3$d eksik, daha fazlası da var ama saymayı bıraktı
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d bulundu, %3$d eksik, daha fazlası da var ama saymayı bıraktı. İlk eksik: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d bulundu, %3$d eksik. İlk eksik: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 alan geçersiz kılındı
Auto-advance videos	Videoları otomatik geç
Automatic	Otomatik
Automatic clear display	Otomatik temiz ekran
Avatar and follow button	Profil fotoğrafı ve takip düğmesi
Back	Geri
Back up settings	Ayarları yedekle
Backup and restore	Yedekleme ve geri yükleme
Black	Siyah
Block clipboard reads	Pano okumalarını engelle
Block contact list access	Kişi listesine erişimi engelle
Block installed app scanning	Yüklü uygulama taramasını engelle
Block location	Konumu engelle
Block motion sensors	Hareket sensörlerini engelle
Block new bottom tabs	Yeni alt sekmeleri engelle
Block new feed tabs	Yeni akış sekmelerini engelle
Block the creator in one tap. Once TikTok confirms, skip to the next video. A small Unblock button appears at the top left for two seconds. You can also unblock later in TikTok's Privacy > Blocked accounts.	İçerik üreticisini tek dokunuşla engelle. TikTok onaylayınca sonraki videoya geç. Sol üstte iki saniyeliğine küçük bir Engeli kaldır düğmesi görünür. Engeli daha sonra TikTok'ta Gizlilik > Engellenen hesaplar bölümünden de kaldırabilirsin.
Block this commenter	Bu yorumu yazanı engelle
Block this creator	Bu içerik üreticisini engelle
Block this sound	Bu sesi engelle
Blocked	Engellendi
Blocked %1$s	%1$s engellendi
Blocked %1$s. Unblock	%1$s engellendi. Engeli kaldır
Blocked caption words	Engellenen açıklama kelimeleri
Blocked comment words	Engellenen yorum kelimeleri
Blocked creators	Engellenen içerik üreticileri
Blocked sound ids	Engellenen ses kimlikleri
Blocked sound names	Engellenen ses adları
Blocked sounds	Engellenen sesler
Blocking	Engelleniyor
Boolean	Boolean
Bottom tabs to keep	Tutulacak alt sekmeler
Browse	Göz at
Calm feed	Sakin akış
Calm feed couldn't be applied. Nothing was changed.	Sakin akış uygulanamadı. Hiçbir şey değiştirilmedi.
Calm feed couldn't start. Try again shortly.	Sakin akış başlatılamadı. Birazdan tekrar dene.
Calm feed is on.	Sakin akış açık.
Calm feed is on. Restart TikTok to apply every change.	Sakin akış açık. Tüm değişiklikleri uygulamak için TikTok'u yeniden başlat.
Camera and microphone in use	Kamera ve mikrofon kullanımda
Camera in use	Kamera kullanımda
Cancel	İptal
Caption background	Altyazı arka planı
Caption text size	Altyazı metin boyutu
Captions	Altyazılar
Captions, gestures and on-screen controls	Altyazılar, hareketler ve ekran kontrolleri
Capture crash reports locally	Çökme raporlarını yerel olarak kaydet
Changed	Değişti
Choose %1$d to %2$d videos. Values outside this range use the nearest valid limit. Restart TikTok to apply this.	%1$d ile %2$d arasında bir video sayısı seç. Bu aralığın dışındaki değerler en yakın geçerli sınırı kullanır. Bunu uygulamak için TikTok'u yeniden başlat.
Choose a backup file. Your current settings are kept for Undo.	Bir yedek dosyası seç. Mevcut ayarların Geri al için saklanır.
Choose a folder on internal storage. SD cards are not supported.	Dahili depolamada bir klasör seç. SD kartlar desteklenmez.
Choose a preset to fill the SIM details.	SIM bilgilerini doldurmak için bir hazır ayar seç.
Choose a subfolder under %1$s.	%1$s altında bir alt klasör seç.
Choose what reaches your feed	Akışına nelerin ulaşacağını seç
Choose which loaded TikTok bottom navigation tabs should stay visible.	Yüklenen TikTok alt gezinme sekmelerinden hangilerinin görünür kalacağını seç.
Choose which loaded TikTok feed tabs should stay visible. If only For You remains, its redundant header is hidden.	Yüklenen TikTok akış sekmelerinden hangilerinin görünür kalacağını seç. Yalnızca Senin İçin kalırsa, gereksiz hale gelen başlığı gizlenir.
Choose which rows and controls appear	Hangi satırların ve kontrollerin görüneceğini seç
Clear all	Tümünü temizle
Clear all Lab data (overrides, switch, recordings)	Tüm Lab verilerini temizle (geçersiz kılmalar, anahtar, kayıtlar)
Clear all suggested accounts	Önerilen tüm hesapları temizle
Clear the recent events, saved crash reports and the hook status above.	Son olayları, kaydedilen çökme raporlarını ve yukarıdaki kanca durumunu temizle.
Clear diagnostic data	Tanılama verilerini temizle
Clear display	Temiz ekran
Clear display delay	Temiz ekran gecikmesi
Clear preset	Hazır ayarı temizle
Clear search	Aramayı temizle
Clear seen videos	Görülen videoları temizle
Clear the search	Aramayı temizle
Cleared. Tap to undo before TikTok closes.	Temizlendi. TikTok kapanmadan önce geri almak için dokun.
Clearing	Temizleniyor
Clearing suggested accounts	Önerilen hesaplar temizleniyor
Clearing, %1$d so far	Temizleniyor, şimdiye kadar %1$d
Close	Kapat
Comma separated account handles or user ids. Videos from these accounts are always hidden. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name.	Virgülle ayrılmış hesap kullanıcı adları veya kullanıcı kimlikleri. Bu hesapların videoları her zaman gizlenir. /^news_/ gibi iki eğik çizgi arasındaki bir giriş, kullanıcı adı ve görünen adla eşleştirilen bir kalıptır.
Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries.	Virgülle ayrılmış ülke kodları, örneğin GB, IE. Başka herhangi bir yerden paylaşılan videolar gizlenir. Tüm ülkeler için boş bırak.
Comma separated country codes. Videos posted from these are hidden, whatever the list above says.	Virgülle ayrılmış ülke kodları. Yukarıdaki liste ne derse desin, bu ülkelerden paylaşılan videolar gizlenir.
Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above.	Gizlenecek diğer Gelen Kutusu satır başlıklarının virgülle ayrılmış listesi, birebir eşleştirilir. Yukarıda listelenmeyen her şey için bunu kullan.
Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens.	Paylaşım menüsünde göründükleri şekliyle, virgülle ayrılmış adlar: Şuraya gönder satırındaki arkadaşlar, Facebook gibi paylaşım hedefleri ve Grup oluştur veya Yeniden yayınla gibi eylemler. copy, save ve dislike gibi sabit anahtarlar da menü açılmadan önce çalışır.
Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.	Oynatıcının ses düğmesiyle kaydedilen, virgülle ayrılmış ses kimlikleri. Engelini kaldırmak için birini sil.
Comma separated usernames or display names whose comments are hidden.	Yorumları gizlenen, virgülle ayrılmış kullanıcı adları veya görünen adlar.
Comma separated words or phrases. Videos whose caption matches are hidden. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Virgülle ayrılmış kelimeler veya ifadeler. Açıklaması eşleşen videolar gizlenir. Büyük küçük harf fark etmez. Tırnak içindeki iki ifade birleştirilebilir: "a" & "b" ikisini de gerektirir, "a" !& "b" ikincisi olmadan birincisini gerektirir.
Comma separated words to match against a sound's name, like saxophone. Case does not matter.	Bir sesin adıyla eşleştirilecek, virgülle ayrılmış kelimeler, örneğin saksafon. Büyük küçük harf fark etmez.
Comma separated. A comment is hidden if its text contains any of them. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Virgülle ayrılır. Metni bunlardan herhangi birini içeren yorum gizlenir. Büyük küçük harf fark etmez. Tırnak içindeki iki ifade birleştirilebilir: "a" & "b" ikisini de gerektirir, "a" !& "b" ikincisi olmadan birincisini gerektirir.
Comment media filename	Yorum medyası dosya adı
Comments	Yorumlar
Comments aren't available for this video	Bu video için yorumlar kullanılamıyor
Comments beside the video	Yorumlar videonun yanında
Compact comment header	Kompakt yorum başlığı
Compare gate reads with their previous values.	Özellik kapısı okumalarını önceki değerleriyle karşılaştır.
Completed an interrupted settings change. Restart TikTok to apply this.	Yarıda kalan bir ayar değişikliği tamamlandı. Bunu uygulamak için TikTok'u yeniden başlat.
Config	Yapılandırma
Config (Settings Manager)	Yapılandırma (Settings Manager)
Confirm before a quick repost	Hızlı yeniden yayınlamadan önce onay iste
Confirm before following	Takip etmeden önce onay iste
Confirm before liking	Beğenmeden önce onay iste
Confirm before liking a comment	Bir yorumu beğenmeden önce onay iste
Confirm before liking a story	Bir hikayeyi beğenmeden önce onay iste
Confirm before sending to a friend	Bir arkadaşa göndermeden önce onay iste
Continue supported videos from where you stopped when you scroll back to them.	Desteklenen videolara geri kaydırdığında kaldığın yerden devam et.
Controls	Kontroller
Copied feature gate report	Özellik kapısı raporu kopyalandı
Copy a quick report or save the full report as a file.	Hızlı bir rapor kopyala veya tam raporu dosya olarak kaydet.
Copy comments without username	Yorumları kullanıcı adı olmadan kopyala
Copy only the comment text when using TikTok's copy comment action.	TikTok'un yorumu kopyala eylemini kullanırken yalnızca yorum metnini kopyala.
Copy quick report	Hızlı raporu kopyala
Copy report	Raporu kopyala
Copy the sound link	Ses bağlantısını kopyala
Copy the video link	Video bağlantısını kopyala
Couldn't change the Lab settings. Try again.	Lab ayarları değiştirilemedi. Tekrar dene.
Couldn't clear the suggested accounts. Reopen the Inbox and try again.	Önerilen hesaplar temizlenemedi. Gelen Kutusu'nu yeniden açıp tekrar dene.
Couldn't copy the report. Use Save JSON instead.	Rapor kopyalanamadı. Bunun yerine JSON'u kaydet seçeneğini kullan.
Couldn't open settings search. Reopen settings and try again.	Ayarlar araması açılamadı. Ayarları yeniden açıp tekrar dene.
Couldn't open that settings section. Reopen settings and try again.	O ayarlar bölümü açılamadı. Ayarları yeniden açıp tekrar dene.
Couldn't open the file picker to export. Try again.	Dışa aktarma dosya seçicisi açılamadı. Tekrar dene.
Couldn't open the file picker to import. Try again.	İçe aktarma dosya seçicisi açılamadı. Tekrar dene.
Couldn't put back the diagnostic data. Try again.	Tanılama verileri geri konamadı. Tekrar dene.
Couldn't read who posted this comment. Open their profile and block them there.	Bu yorumu kimin yazdığı okunamadı. Profilini açıp oradan engelle.
Couldn't reset this override. Try again.	Bu geçersiz kılma sıfırlanamadı. Tekrar dene.
Couldn't restore the settings. Try again.	Ayarlar geri yüklenemedi. Tekrar dene.
Couldn't save the settings backup. Try again.	Ayar yedeği kaydedilemedi. Tekrar dene.
Couldn't save this override. Try again.	Bu geçersiz kılma kaydedilemedi. Tekrar dene.
Couldn't send the feedback. Try again shortly.	Geri bildirim gönderilemedi. Birazdan tekrar dene.
Couldn't start the Lab change. Try again shortly.	Lab değişikliği başlatılamadı. Birazdan tekrar dene.
Couldn't start the report export. Try again shortly.	Rapor dışa aktarımı başlatılamadı. Birazdan tekrar dene.
Couldn't start the settings change. Try again shortly.	Ayar değişikliği başlatılamadı. Birazdan tekrar dene.
Couldn't tell which folder to update. Choose it again.	Hangi klasörün güncelleneceği anlaşılamadı. Yeniden seç.
Couldn't undo the clear. Try again.	Temizleme geri alınamadı. Tekrar dene.
Couldn't confirm the block for %1$s. Open their profile to check.	%1$s için engelleme doğrulanamadı. Kontrol etmek için profilini aç.
Couldn't confirm the unblock for %1$s. Open their profile to check.	%1$s için engelin kaldırıldığı doğrulanamadı. Kontrol etmek için profilini aç.
Country and network preferences	Ülke ve ağ tercihleri
Country code	Ülke kodu
Counts under the buttons	Düğmelerin altındaki sayılar
Create	Oluştur
Creators and sounds	İçerik üreticileri ve sesler
Creators hidden on this phone	Bu telefonda gizlenen içerik üreticileri
Creators you hid from a video. Search the list and remove one at a time.	Bir videodan gizlediğin içerik üreticileri. Listede ara ve tek tek kaldır.
Current	Mevcut
Current %1$s	Mevcut %1$s
Current cache unavailable: %1$s	Mevcut önbellek kullanılamıyor: %1$s
Current state	Mevcut durum
Current: %1$s	Mevcut: %1$s
Custom SIM details	Özel SIM bilgileri
Custom value	Özel değer
Custom value...	Özel değer...
Protect external pages in TikTok's browser	TikTok tarayıcısındaki harici sayfaları koru
Daily budget	Günlük bütçe
Daily budgets, reminders and the hold	Günlük bütçeler, hatırlatmalar ve bekletme
Daily time budget	Günlük süre bütçesi
Daily video budget	Günlük video bütçesi
Dark	Koyu
Days to remember a video. Zero removes the age limit. History keeps at most %1$s videos.	Bir videonun kaç gün hatırlanacağı. Sıfır, yaş sınırını kaldırır. Geçmiş en fazla %1$s video tutar.
Days. Zero keeps every age. Posts without a usable timestamp, including future posts, stay visible.	Gün. Sıfır her yaştaki gönderiyi tutar. Gelecek tarihli gönderiler dahil, kullanılabilir bir zaman damgası olmayan gönderiler görünür kalır.
Default	Varsayılan
Default playback speed	Varsayılan oynatma hızı
Destination updated	Hedef güncellendi
Device access	Cihaz erişimi
Device language, then original	Önce cihaz dili, sonra orijinal
Diagnostic data cleared. Tap again to put it back.	Tanılama verileri temizlendi. Geri koymak için tekrar dokun.
Diagnostic data put back	Tanılama verileri geri kondu
Diagnostic report copied to the clipboard	Tanılama raporu panoya kopyalandı
Diagnostics	Tanılama
Disable	Devre dışı bırak
Stop analytics and tracking	Analitiği ve izlemeyi durdur
Keep For You on a Home tap	Ana Sayfa'ya dokununca Senin İçin'i koru
Keep For You on a pull down	Aşağı çekince Senin İçin'i koru
Keep long press from quick sharing	Uzun basma hızlı paylaşmasın
Keep long press from reposting	Uzun basma yeniden yayınlamasın
Disabled	Devre dışı
Discard edits	Düzenlemeleri iptal et
Dismissed %1$s suggested accounts	%1$s önerilen hesap kaldırıldı
Dismissed one suggested account	Bir önerilen hesap kaldırıldı
Do not start the feed on returning	Geri dönünce akışı başlatma
Do nothing	Hiçbir şey yapma
Done	Bitti
Double tap	Çift dokunma
Download original photos	Orijinal fotoğrafları indir
Downloads	İndirilenler
Drag to move, release to place	Taşımak için sürükle, yerleştirmek için bırak
Drama and Series	Drama ve Seri
Draw TikTok's text in your device's font instead of TikTok Sans. Icons, gift animations and the @ and # glyphs keep their own fonts. Restart TikTok to apply this.	TikTok'un metinlerini TikTok Sans yerine cihazının yazı tipiyle göster. Simgeler, hediye animasyonları ve @ ile # işaretleri kendi yazı tiplerini korur. Uygulamak için TikTok'u yeniden başlat.
