source,target
%1$s videos left,%1$s videos left
%1$s view per comment,%1$s view per comment
%1$s view per like,%1$s view per like
%1$s views per comment,%1$s views per comment
%1$s views per like,%1$s views per like
%1$s was rejected. %2$s,%1$s was rejected. %2$s
"%1$s, %2$s or %3$s","%1$s, %2$s or %3$s"
"%1$s, %2$s, %3$s or %4$s","%1$s, %2$s, %3$s or %4$s"
"%1$s, %2$s, %3$s, %4$s, %5$s","%1$s, %2$s, %3$s, %4$s, %5$s"
"%1$s, selected","%1$s, selected"
%1$s. %2$s,%1$s. %2$s
"%1$s: %2$d found, %3$d missing","%1$s: %2$d found, %3$d missing"
"%1$s: %2$d found, %3$d missing, and more it stopped counting","%1$s: %2$d found, %3$d missing, and more it stopped counting"
"%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s","%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s"
"%1$s: %2$d found, %3$d missing. First missing: %4$s","%1$s: %2$d found, %3$d missing. First missing: %4$s"
%1$s: %2$s,%1$s: %2$s
1 field overridden,1 field overridden
1 field will be overridden when requested,1 field will be overridden when requested
1 gate selected,1 gate selected
1 min left,1 min left
1 result,1 result
1 result so far,1 result so far
1 video left,1 video left
A Lab change is already running,A Lab change is already running
A comment poll shows how many picked each answer before you vote. Tapping an answer still votes.,A comment poll shows how many picked each answer before you vote. Tapping an answer still votes.
A creator pattern is taking too long and was turned off: %1$s,A creator pattern is taking too long and was turned off: %1$s
A diagnostic report is already being saved,A diagnostic report is already being saved
A field value couldn't be read. Check the values and try again.,A field value couldn't be read. Check the values and try again.
A file named hushfeed-safe-mode in TikTok's folder under Android/data paused Hushfeed. Your settings stay as they are.,A file named hushfeed-safe-mode in TikTok's folder under Android/data paused Hushfeed. Your settings stay as they are.
A forced value applies to this copy of TikTok whichever account is signed in. It cannot get past a check the server makes.,A forced value applies to this copy of TikTok whichever account is signed in. It cannot get past a check the server makes.
"A good place to stop, if you want one.","A good place to stop, if you want one."
A green dot in the top corner while TikTok has the camera open and an orange one while it records sound. They go when the access ends.,A green dot in the top corner while TikTok has the camera open and an orange one while it records sound. They go when the access ends.
"A host to put in place of tiktok.com when you share or copy a link, like vxtiktok.com. Leave it empty to share TikTok's own links. Only TikTok links are changed, and only the host: nothing is sent anywhere new.","A host to put in place of tiktok.com when you share or copy a link, like vxtiktok.com. Leave it empty to share TikTok's own links. Only TikTok links are changed, and only the host: nothing is sent anywhere new."
A long press on Comment plays the video at the hold speed instead of opening the emoji row. It needs Long press on TikTok default and Seek from the edges off.,A long press on Comment plays the video at the hold speed instead of opening the emoji row. It needs Long press on TikTok default and Seek from the edges off.
A long press on Favorites plays the video at the hold speed instead of offering a new collection. It needs Long press on TikTok default and Seek from the edges off.,A long press on Favorites plays the video at the hold speed instead of offering a new collection. It needs Long press on TikTok default and Seek from the edges off.
A long press on Share plays the video at the hold speed instead of opening the quick share row. It needs Long press on TikTok default and Seek from the edges off.,A long press on Share plays the video at the hold speed instead of opening the quick share row. It needs Long press on TikTok default and Seek from the edges off.
A newer clear replaced that undo. Tap the row again to undo.,A newer clear replaced that undo. Tap the row again to undo.
"A small label on the feed shows the minutes or videos left of today's budget, whichever is closer to running out.","A small label on the feed shows the minutes or videos left of today's budget, whichever is closer to running out."
A tap on Home or on the For You tab while For You is showing no longer reloads it. The video you're on stays.,A tap on Home or on the For You tab while For You is showing no longer reloads it. The video you're on stays.
A tap on a person in the Send to row only selects them. A second tap on the same person within %1$d seconds sends the video.,A tap on a person in the Send to row only selects them. A second tap on the same person within %1$d seconds sends the video.
A video you paused stays paused when you come back to the app instead of starting again. One you left playing starts as usual. It works on Android 10 and newer.,A video you paused stays paused when you come back to the app instead of starting again. One you left playing starts as usual. It works on Android 10 and newer.
A web address someone left in a comment can be tapped instead of copied out by hand. Tapping anywhere else in the comment still does what it did.,A web address someone left in a comment can be tapped instead of copied out by hand. Tapping anywhere else in the comment still does what it did.
AI-generated posts,AI-generated posts
About,About
Activity,Activity
Activity center (PIA),Activity center (PIA)
Add,Add
Add a button beside the block control to send feedback about the current video.,Add a button beside the block control to send feedback about the current video.
Add a button that hides the current creator on this phone without blocking them.,Add a button that hides the current creator on this phone without blocking them.
Add a creator,Add a creator
Add a search box that filters comments already loaded on this video by text or username. It doesn't search all of TikTok or remove TikTok's suggested-search banner.,Add a search box that filters comments already loaded on this video by text or username. It doesn't search all of TikTok or remove TikTok's suggested-search banner.
Add a separate button that skips videos using the current sound.,Add a separate button that skips videos using the current sound.
Add hidden creator,Add hidden creator
Added %1$s,Added %1$s
Ads,Ads
Advanced,Advanced
Advanced JSON value,Advanced JSON value
All,All
All available languages,All available languages
All events,All events
All loaded tabs,All loaded tabs
Allow Duet and Stitch anyway,Allow Duet and Stitch anyway
Allow screenshots and Circle to Search,Allow screenshots and Circle to Search
Allow storage for TikTok in Android settings to save profile pictures,Allow storage for TikTok in Android settings to save profile pictures
Allow storage for TikTok in Android settings to save sounds,Allow storage for TikTok in Android settings to save sounds
Allow storage for TikTok in Android settings to save stories,Allow storage for TikTok in Android settings to save stories
Allow storage for TikTok in Android settings to save the live photo's clip,Allow storage for TikTok in Android settings to save the live photo's clip
Already active,Already active
Already marked as not interested,Already marked as not interested
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.,Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.
Also change the region TikTok reports internally. Keeps your interface language. Your IP address and your account's own rules still apply.,Also change the region TikTok reports internally. Keeps your interface language. Your IP address and your account's own rules still apply.
"Also on a block list, so still hidden: %1$s","Also on a block list, so still hidden: %1$s"
Always show publish date,Always show publish date
Always show the publish date in video author information. Restart TikTok to apply this.,Always show the publish date in video author information. Restart TikTok to apply this.
"An app's package name, like com.dv.adm. The save button sends the video's link there instead of saving it here. Leave it empty to save here.","An app's package name, like com.dv.adm. The save button sends the video's link there instead of saving it here. Leave it empty to save here."
"An exception names one creator, so a pattern can't be one: %1$s","An exception names one creator, so a pattern can't be one: %1$s"
"An exception takes a handle or id, not a display name: %1$s","An exception takes a handle or id, not a display name: %1$s"
"An interrupted settings change couldn't be recovered, so its record was set aside. Check your settings or restore a backup.","An interrupted settings change couldn't be recovered, so its record was set aside. Check your settings or restore a backup."
"An operator code is five or six digits, like 310260","An operator code is five or six digits, like 310260"
An override changes the value TikTok reads from this gate. It does not rewrite TikTok's cached value or prove the named feature changed.,An override changes the value TikTok reads from this gate. It does not rewrite TikTok's cached value or prove the named feature changed.
Animated sticker format,Animated sticker format
Answer TikTok's location requests with nothing. The region settings change the locale and timezone; this stops the coordinates.,Answer TikTok's location requests with nothing. The region settings change the locale and timezone; this stops the coordinates.
Answer TikTok's reads of your contacts with an empty list. Find Friends and People you may know lose access to your contact list.,Answer TikTok's reads of your contacts with an empty list. Find Friends and People you may know lose access to your contact list.
"Answer TikTok's scan of the apps on this phone with an empty list. A check for one named app, which TikTok also uses to open an app you tap, is left alone.","Answer TikTok's scan of the apps on this phone with an empty list. A check for one named app, which TikTok also uses to open an app you tap, is left alone."
App,App
App AB,App AB
Appearance,Appearance
Applies to both video and photo downloads.,Applies to both video and photo downloads.
Apply,Apply
Apply overrides,Apply overrides
Applying Calm feed,Applying Calm feed
Around the video,Around the video
Arrange your feed and bottom tabs,Arrange your feed and bottom tabs
"Ask TikTok for search results that aren't personalized to your account. This changes results, not search buttons or suggestions.","Ask TikTok for search results that aren't personalized to your account. This changes results, not search buttons or suggestions."
Attention,Attention
Audio,Audio
Auto translate comments,Auto translate comments
Auto-advance,Auto-advance
Auto-advance session limit,Auto-advance session limit
Auto-advance stopped after %1$d videos,Auto-advance stopped after %1$d videos
Auto-advance stopped after one video,Auto-advance stopped after one video
Auto-advance videos,Auto-advance videos
Automatic,Automatic
Automatic clear display,Automatic clear display
Avatar and follow button,Avatar and follow button
Back,Back
Back up settings,Back up settings
Backup and restore,Backup and restore
Black,Black
Block clipboard reads,Block clipboard reads
Block contact list access,Block contact list access
Block installed app scanning,Block installed app scanning
Block location,Block location
Block motion sensors,Block motion sensors
Block new bottom tabs,Block new bottom tabs
Block new feed tabs,Block new feed tabs
"Block the creator in one tap. Once TikTok confirms, skip to the next video. A small Unblock button appears at the top left for two seconds. You can also unblock later in TikTok's Privacy > Blocked accounts.","Block the creator in one tap. Once TikTok confirms, skip to the next video. A small Unblock button appears at the top left for two seconds. You can also unblock later in TikTok's Privacy > Blocked accounts."
Block this commenter,Block this commenter
Block this creator,Block this creator
Block this sound,Block this sound
Blocked,Blocked
Blocked %1$s,Blocked %1$s
Blocked %1$s. Unblock,Blocked %1$s. Unblock
Blocked and hidden creators,Blocked and hidden creators
Blocked caption words,Blocked caption words
Blocked comment words,Blocked comment words
Blocked creators,Blocked creators
Blocked sound ids,Blocked sound ids
Blocked sound names,Blocked sound names
Blocked sounds,Blocked sounds
Blocking,Blocking
Boolean,Boolean
Bottom tabs to keep,Bottom tabs to keep
Browse,Browse
Calm feed,Calm feed
Calm feed couldn't be applied. Nothing was changed.,Calm feed couldn't be applied. Nothing was changed.
Calm feed couldn't start. Try again shortly.,Calm feed couldn't start. Try again shortly.
Calm feed is on.,Calm feed is on.
Calm feed is on. Restart TikTok to apply every change.,Calm feed is on. Restart TikTok to apply every change.
Camera and microphone in use,Camera and microphone in use
Camera in use,Camera in use
Cancel,Cancel
Caption background,Caption background
Caption text size,Caption text size
Captions,Captions
"Captions, gestures and on-screen controls","Captions, gestures and on-screen controls"
Capture crash reports locally,Capture crash reports locally
Changed,Changed
Choose %1$d to %2$d videos. Values outside this range use the nearest valid limit. Restart TikTok to apply this.,Choose %1$d to %2$d videos. Values outside this range use the nearest valid limit. Restart TikTok to apply this.
Choose a backup file. Your current settings are kept for Undo.,Choose a backup file. Your current settings are kept for Undo.
Choose a folder on internal storage. SD cards are not supported.,Choose a folder on internal storage. SD cards are not supported.
Choose a preset to fill the SIM details.,Choose a preset to fill the SIM details.
Choose a subfolder under %1$s.,Choose a subfolder under %1$s.
Choose what reaches your feed,Choose what reaches your feed
Choose which loaded TikTok bottom navigation tabs should stay visible.,Choose which loaded TikTok bottom navigation tabs should stay visible.
"Choose which loaded TikTok feed tabs should stay visible. If only For You remains, its redundant header is hidden.","Choose which loaded TikTok feed tabs should stay visible. If only For You remains, its redundant header is hidden."
Choose which rows and controls appear,Choose which rows and controls appear
Clear all,Clear all
"Clear all Lab data (overrides, switch, recordings)","Clear all Lab data (overrides, switch, recordings)"
Clear all suggested accounts,Clear all suggested accounts
Clear diagnostic data,Clear diagnostic data
Clear display,Clear display
Clear display delay,Clear display delay
Clear preset,Clear preset
Clear search,Clear search
Clear seen videos,Clear seen videos
"Clear the recent events, saved crash reports and the hook status above.","Clear the recent events, saved crash reports and the hook status above."
Clear the search,Clear the search
Cleared. Tap to undo before TikTok closes.,Cleared. Tap to undo before TikTok closes.
Clearing,Clearing
Clearing suggested accounts,Clearing suggested accounts
"Clearing, %1$d so far","Clearing, %1$d so far"
Close,Close
"Comma separated account handles or user ids. Their videos stay when only a filter on the kind of post, its labels, age, length or counts would hide them. Ads, blocked creators, words, sounds and countries, and seen videos still apply.","Comma separated account handles or user ids. Their videos stay when only a filter on the kind of post, its labels, age, length or counts would hide them. Ads, blocked creators, words, sounds and countries, and seen videos still apply."
"Comma separated account handles or user ids. Videos from these accounts are always hidden. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name.","Comma separated account handles or user ids. Videos from these accounts are always hidden. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name."
"Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries.","Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries."
"Comma separated country codes. Videos posted from these are hidden, whatever the list above says.","Comma separated country codes. Videos posted from these are hidden, whatever the list above says."
"Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above.","Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above."
"Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens.","Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens."
Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.,Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.
Comma separated usernames or display names whose comments are hidden.,Comma separated usernames or display names whose comments are hidden.
"Comma separated words or phrases. Videos whose caption matches are hidden. Case does not matter. Two phrases in quotes can be joined: ""a"" & ""b"" needs both, ""a"" !& ""b"" needs the first without the second.","Comma separated words or phrases. Videos whose caption matches are hidden. Case does not matter. Two phrases in quotes can be joined: ""a"" & ""b"" needs both, ""a"" !& ""b"" needs the first without the second."
"Comma separated words to match against a sound's name, like saxophone. Case does not matter.","Comma separated words to match against a sound's name, like saxophone. Case does not matter."
"Comma separated. A comment is hidden if its text contains any of them. Case does not matter. Two phrases in quotes can be joined: ""a"" & ""b"" needs both, ""a"" !& ""b"" needs the first without the second.","Comma separated. A comment is hidden if its text contains any of them. Case does not matter. Two phrases in quotes can be joined: ""a"" & ""b"" needs both, ""a"" !& ""b"" needs the first without the second."
Comment media filename,Comment media filename
Comments,Comments
Comments aren't available for this video,Comments aren't available for this video
Comments beside the video,Comments beside the video
Comments range,Comments range
Compact comment header,Compact comment header
Compare gate reads with their previous values.,Compare gate reads with their previous values.
Completed an interrupted settings change. Restart TikTok to apply this.,Completed an interrupted settings change. Restart TikTok to apply this.
Config,Config
Config (Settings Manager),Config (Settings Manager)
Confirm before a quick repost,Confirm before a quick repost
Confirm before following,Confirm before following
Confirm before liking,Confirm before liking
Confirm before liking a comment,Confirm before liking a comment
Confirm before liking a story,Confirm before liking a story
Confirm before sending to a friend,Confirm before sending to a friend
Continue supported videos from where you stopped when you scroll back to them.,Continue supported videos from where you stopped when you scroll back to them.
Controls,Controls
Copied feature gate report,Copied feature gate report
Copy a quick report or save the full report as a file.,Copy a quick report or save the full report as a file.
Copy comments without username,Copy comments without username
Copy only the comment text when using TikTok's copy comment action.,Copy only the comment text when using TikTok's copy comment action.
Copy quick report,Copy quick report
Copy report,Copy report
Copy the sound link,Copy the sound link
Copy the video link,Copy the video link
Couldn't change the Lab settings. Try again.,Couldn't change the Lab settings. Try again.
Couldn't clear the suggested accounts. Reopen the Inbox and try again.,Couldn't clear the suggested accounts. Reopen the Inbox and try again.
Couldn't confirm the block for %1$s. Open their profile to check.,Couldn't confirm the block for %1$s. Open their profile to check.
Couldn't confirm the unblock for %1$s. Open their profile to check.,Couldn't confirm the unblock for %1$s. Open their profile to check.
Couldn't copy the report. Use Save JSON instead.,Couldn't copy the report. Use Save JSON instead.
Couldn't open settings search. Reopen settings and try again.,Couldn't open settings search. Reopen settings and try again.
Couldn't open that settings section. Reopen settings and try again.,Couldn't open that settings section. Reopen settings and try again.
Couldn't open the file picker to export. Try again.,Couldn't open the file picker to export. Try again.
Couldn't open the file picker to import. Try again.,Couldn't open the file picker to import. Try again.
Couldn't put back the diagnostic data. Try again.,Couldn't put back the diagnostic data. Try again.
Couldn't read who posted this comment. Open their profile and block them there.,Couldn't read who posted this comment. Open their profile and block them there.
Couldn't reset this override. Try again.,Couldn't reset this override. Try again.
Couldn't restore the settings. Try again.,Couldn't restore the settings. Try again.
Couldn't save the settings backup. Try again.,Couldn't save the settings backup. Try again.
Couldn't save this override. Try again.,Couldn't save this override. Try again.
Couldn't send the feedback. Try again shortly.,Couldn't send the feedback. Try again shortly.
Couldn't start the Lab change. Try again shortly.,Couldn't start the Lab change. Try again shortly.
Couldn't start the report export. Try again shortly.,Couldn't start the report export. Try again shortly.
Couldn't start the settings change. Try again shortly.,Couldn't start the settings change. Try again shortly.
Couldn't tell which folder to update. Choose it again.,Couldn't tell which folder to update. Choose it again.
Couldn't undo the clear. Try again.,Couldn't undo the clear. Try again.
Country and network preferences,Country and network preferences
Country code,Country code
Country filters,Country filters
Counts under the buttons,Counts under the buttons
Create,Create
Creator exceptions,Creator exceptions
Creators and sounds,Creators and sounds
Creators hidden on this phone,Creators hidden on this phone
Creators you hid from a video. Search the list and remove one at a time.,Creators you hid from a video. Search the list and remove one at a time.
Current,Current
Current %1$s,Current %1$s
Current cache unavailable: %1$s,Current cache unavailable: %1$s
Current state,Current state
Current: %1$s,Current: %1$s
Custom SIM details,Custom SIM details
Custom value,Custom value
Custom value...,Custom value...
Daily budget,Daily budget
"Daily budgets, reminders and the hold","Daily budgets, reminders and the hold"
Daily time budget,Daily time budget
Daily video budget,Daily video budget
Dark,Dark
Days to remember a video. Zero removes the age limit. History keeps at most %1$s videos.,Days to remember a video. Zero removes the age limit. History keeps at most %1$s videos.
"Days. Zero keeps every age. Posts without a usable timestamp, including future posts, stay visible.","Days. Zero keeps every age. Posts without a usable timestamp, including future posts, stay visible."
Default,Default
Default playback speed,Default playback speed
Destination updated,Destination updated
Device access,Device access
"Device language, then original","Device language, then original"
Diagnostic data cleared. Tap again to put it back.,Diagnostic data cleared. Tap again to put it back.
Diagnostic data put back,Diagnostic data put back
Diagnostic report copied to the clipboard,Diagnostic report copied to the clipboard
Diagnostics,Diagnostics
Disable,Disable
Disabled,Disabled
Discard edits,Discard edits
Dismissed %1$s suggested accounts,Dismissed %1$s suggested accounts
Dismissed one suggested account,Dismissed one suggested account
Do not start the feed on returning,Do not start the feed on returning
Do nothing,Do nothing
Done,Done
Double tap,Double tap
Download original photos,Download original photos
Downloads,Downloads
"Drag to move, release to place","Drag to move, release to place"
Drama and Series,Drama and Series
"Draw TikTok's text in your device's font instead of TikTok Sans. Icons, gift animations and the @ and # glyphs keep their own fonts. Restart TikTok to apply this.","Draw TikTok's text in your device's font instead of TikTok Sans. Icons, gift animations and the @ and # glyphs keep their own fonts. Restart TikTok to apply this."
"Each area, how many of the things it looks for are in this build and how many are not.","Each area, how many of the things it looks for are in this build and how many are not."
Easier comment likes,Easier comment likes
Empty,Empty
"Empty the menu that opens when you press and hold TikTok's icon on the home screen. Turning this off asks TikTok to build them again. Tapping the icon still opens the app, and a shortcut you pinned yourself stays where you put it.","Empty the menu that opens when you press and hold TikTok's icon on the home screen. Turning this off asks TikTok to build them again. Tapping the icon still opens the app, and a shortcut you pinned yourself stays where you put it."
Enable,Enable
Enabled,Enabled
Enter a JSON object or array.,Enter a JSON object or array.
Enter a creator handle or id,Enter a creator handle or id
Enter a finite number.,Enter a finite number.
Enter a number,Enter a number
Enter a number.,Enter a number.
Enter a valid structured value.,Enter a valid structured value.
Enter a valid two-letter country code,Enter a valid two-letter country code
"Enter a whole number, or one like 20K, 1.5M or 2B","Enter a whole number, or one like 20K, 1.5M or 2B"
Enter a whole number.,Enter a whole number.
Enter true or false.,Enter true or false.
Enter up to %1$d comma-separated speeds from %2$s to %3$s,Enter up to %1$d comma-separated speeds from %2$s to %3$s
Enter valid JSON.,Enter valid JSON.
Entry %1$d has a field with the wrong data type.,Entry %1$d has a field with the wrong data type.
Entry %1$d is not an object.,Entry %1$d is not an object.
Errors,Errors
Expand activity list,Expand activity list
Explore,Explore
Export diagnostic report,Export diagnostic report
Export loaded values,Export loaded values
Exported %1$d loaded values,Exported %1$d loaded values
Exported 1 loaded value,Exported 1 loaded value
"Extend the heart's touch area into nearby blank space. The icon and row spacing stay the same. Text, Reply and other controls keep their own space.","Extend the heart's touch area into nearby blank space. The icon and row spacing stay the same. Text, Reply and other controls keep their own space."
Fade the feed out before the hold,Fade the feed out before the hold
Favorites range,Favorites range
Feature Gate Lab,Feature Gate Lab
Feature gate override reset,Feature gate override reset
Feature gate override saved,Feature gate override saved
Feed and navigation,Feed and navigation
Feed button size,Feed button size
Feed filter,Feed filter
Feed screen,Feed screen
Feed tabs,Feed tabs
Feed tabs to keep,Feed tabs to keep
"Field %1$s can't be changed on this build. Take it out of the override, or reset the override.","Field %1$s can't be changed on this build. Take it out of the override, or reset the override."
Field edits were discarded,Field edits were discarded
Field edits were not saved,Field edits were not saved
Files,Files
Filter TikTok's offline videos,Filter TikTok's offline videos
Filter bottom tabs,Filter bottom tabs
Filter comments by keyword,Filter comments by keyword
Filter feed tabs,Filter feed tabs
Filter location-tagged videos,Filter location-tagged videos
Filter settings,Filter settings
Filter the list,Filter the list
Filter: %1$s,Filter: %1$s
"Filters, translation and copy options","Filters, translation and copy options"
Find a setting by name or description,Find a setting by name or description
Find the sound on YouTube Music,Find the sound on YouTube Music
First caller,First caller
First rejection:,First rejection:
Fit the video to the screen,Fit the video to the screen
Focus,Focus
Follow probe,Follow probe
Following,Following
For You,For You
For com.deniscerri.ytdl only. Ask YTDLnis for audio or video when the save button hands it a link.,For com.deniscerri.ytdl only. Ask YTDLnis for audio or video when the save button hands it a link.
For com.deniscerri.ytdl only. Hide its download card and start the handoff in the background.,For com.deniscerri.ytdl only. Hide its download card and start the handoff in the background.
Forced %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.,Forced %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.
Forced %1$d gates. Restart TikTok to apply this.,Forced %1$d gates. Restart TikTok to apply this.
Forced 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.,Forced 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.
Forced 1 gate. Restart TikTok to apply this.,Forced 1 gate. Restart TikTok to apply this.
Forced result,Forced result
Forget seen videos after,Forget seen videos after
Forget the %1$s seen videos.,Forget the %1$s seen videos.
Forget what has been counted today and end any hold. The budgets themselves are left alone.,Forget what has been counted today and end any hold. The budgets themselves are left alone.
Friends,Friends
"From the next start TikTok runs as if it were not patched, so you can tell whether a problem comes from Hushfeed. Your settings stay as they are.","From the next start TikTok runs as if it were not patched, so you can tell whether a problem comes from Hushfeed. Your settings stay as they are."
Full comment sort options,Full comment sort options
Full license,Full license
Full report saved to %1$s,Full report saved to %1$s
GIF,GIF
Gate data unavailable,Gate data unavailable
Gate details,Gate details
Generated defaults,Generated defaults
Gestures,Gestures
Ghost mode,Ghost mode
Hand-off,Hand-off
Handle or id,Handle or id
Hidden %1$s on this phone,Hidden %1$s on this phone
Hidden commenters,Hidden commenters
Hidden: %1$s,Hidden: %1$s
Hide,Hide
Hide AI-generated videos,Hide AI-generated videos
Hide CAPTCHA popups,Hide CAPTCHA popups
Hide LIVE replays,Hide LIVE replays
Hide LIVE videos,Hide LIVE videos
Hide LIVE videos from the feed.,Hide LIVE videos from the feed.
Hide Search this image prompts,Hide Search this image prompts
Hide Series,Hide Series
Hide TikTok Shop,Hide TikTok Shop
Hide TikTok Shop in search,Hide TikTok Shop in search
Hide TikTok Shop posts from the feed.,Hide TikTok Shop posts from the feed.
"Hide TikTok's ""Search: ..."" banner above the comment count. This doesn't hide the comments or Hushfeed's comment-search box.","Hide TikTok's ""Search: ..."" banner above the comment count. This doesn't hide the comments or Hushfeed's comment-search box."
Hide TikTok's Auto scroll button,Hide TikTok's Auto scroll button
Hide TikTok's short drama episodes and the cards that promote them.,Hide TikTok's short drama episodes and the cards that promote them.
Hide activity,Hide activity
Hide activity status,Hide activity status
"Hide ads, Shop posts, LIVE videos and replays, promotional music, and paid partnerships.","Hide ads, Shop posts, LIVE videos and replays, promotional music, and paid partnerships."
Hide archive,Hide archive
Hide bottom tabs TikTok adds later unless you allow them.,Hide bottom tabs TikTok adds later unless you allow them.
Hide buttons in the right column,Hide buttons in the right column
Hide comment polls,Hide comment polls
Hide comment popup ads,Hide comment popup ads
Hide comment typing suggestions,Hide comment typing suggestions
Hide comments made of an image or a sticker instead of words.,Hide comments made of an image or a sticker instead of words.
"Hide comments that contain any of the words below, or that come from the accounts below.","Hide comments that contain any of the words below, or that come from the accounts below."
Hide controls after each video starts. Tap to restore them.,Hide controls after each video starts. Tap to restore them.
Hide conversations,Hide conversations
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still turned on.,Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still turned on.
"Hide feed videos with place badges, even when they aren't paid ads. To keep the video and hide only its badge, use Hide location labels in Feed screen.","Hide feed videos with place badges, even when they aren't paid ads. To keep the video and hide only its badge, use Hide location labels in Feed screen."
"Hide floating promotion badges, coins, and timer banners on the feed.","Hide floating promotion badges, coins, and timer banners on the feed."
Hide floating promotions,Hide floating promotions
Hide inserted cards,Hide inserted cards
Hide location labels,Hide location labels
Hide message requests,Hide message requests
Hide message streaks,Hide message streaks
Hide mini dramas,Hide mini dramas
Hide new follower notifications,Hide new follower notifications
Hide new followers,Hide new followers
Hide paid partnerships,Hide paid partnerships
Hide people and options by name,Hide people and options by name
Hide photo posts,Hide photo posts
Hide photo posts from the feed.,Hide photo posts from the feed.
Hide picture comments,Hide picture comments
"Hide place badges on videos, including cards with multiple places. Videos and your location permissions stay unchanged.","Hide place badges on videos, including cards with multiple places. Videos and your location permissions stay unchanged."
Hide playlist videos,Hide playlist videos
Hide promotional music,Hide promotional music
Hide recommended searches before you type on TikTok's search page. Your search history stays. This doesn't hide suggestions above comments.,Hide recommended searches before you type on TikTok's search page. Your search history stays. This doesn't hide suggestions above comments.
Hide recorded LIVE broadcasts from the feed.,Hide recorded LIVE broadcasts from the feed.
Hide rows by title,Hide rows by title
Hide search rewards,Hide search rewards
