# Settings text, English on the left, German on the right, one entry per line, tab separated.
# Keep %s and %d placeholders, {tokens} and product names as they are.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
%1$d already matched	%1$d stimmten bereits überein
%1$d areas were checked and everything they need is here.	%1$d Bereiche wurden geprüft und alles, was sie brauchen, ist vorhanden.
%1$d fields overridden	%1$d Felder überschrieben
%1$d fields will be overridden when requested	%1$d Felder werden bei der Abfrage überschrieben
%1$d gates selected	%1$d Schalter ausgewählt
%1$d minutes left	Noch %1$d Minuten
%1$d rejected	%1$d abgelehnt
%1$d results	%1$d Ergebnisse
%1$d results so far	%1$d Ergebnisse bisher
%1$d results so far, and more not counted	%1$d Ergebnisse bisher, weitere nicht gezählt
%1$d results, filtered to %2$s	%1$d Ergebnisse, gefiltert nach %2$s
%1$d setting was not in that file and was left as it is	%1$d Einstellung stand nicht in dieser Datei und bleibt unverändert
%1$d settings were not in that file and were left as they are	%1$d Einstellungen standen nicht in dieser Datei und bleiben unverändert
%1$d unavailable	%1$d nicht verfügbar
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (TikTok-Wert)
%1$s (custom, unverified)	%1$s (benutzerdefiniert, ungeprüft)
%1$s (override returned)	%1$s (Überschreibung zurückgegeben)
%1$s (will be returned when requested)	%1$s (wird bei der Abfrage zurückgegeben)
%1$s / current cache only	%1$s / nur aktueller Cache
%1$s / generated registry	%1$s / generiertes Register
%1$s / generated registry and current cache	%1$s / generiertes Register und aktueller Cache
%1$s / local catalog	%1$s / lokaler Katalog
%1$s and above	Ab %1$s
%1$s appears more than once in this file.	%1$s kommt in dieser Datei mehrmals vor.
%1$s changed	%1$s geändert
%1$s is already hidden	%1$s ist bereits ausgeblendet
%1$s destinations must start with %2$s	%1$s-Ziele müssen mit %2$s beginnen
%1$s has an invalid value. %2$s	%1$s hat einen ungültigen Wert. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s ist eine Art von Wert, die das Lab nicht überschreiben kann.
%1$s has type %2$s, but the file says %3$s.	%1$s hat den Typ %2$s, in der Datei steht %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s ist kein Ländercode, also würde kein Video jemals dazu passen. Nimm zwei Buchstaben, etwa GB, IE oder US.
%1$s is not in this Lab catalog.	%1$s ist nicht in diesem Lab-Katalog enthalten.
%1$s isn't installed or doesn't take links	%1$s ist nicht installiert oder nimmt keine Links an
%1$s left	Noch %1$s
%1$s min left	Noch %1$s Min.
%1$s to %2$s	%1$s bis %2$s
%1$s videos left	Noch %1$s Videos
%1$s was rejected. %2$s	%1$s wurde abgelehnt. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, ausgewählt
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d gefunden, %3$d fehlen
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d gefunden, %3$d fehlen, und weitere, die nicht mehr gezählt wurden
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d gefunden, %3$d fehlen, und weitere, die nicht mehr gezählt wurden. Zuerst fehlte: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d gefunden, %3$d fehlen. Zuerst fehlte: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 Feld überschrieben
Block the creator in one tap. Once TikTok confirms, skip to the next video. A small Unblock button appears at the top left for two seconds. You can also unblock later in TikTok's Privacy > Blocked accounts.	Blockiere den Ersteller mit einem Tippen. Sobald TikTok bestätigt, geht es zum nächsten Video. Oben links erscheint zwei Sekunden lang eine kleine Schaltfläche zum Entblocken. Später kannst du die Blockierung auch unter TikTok > Datenschutz > Blockierte Konten aufheben.
TikTok's own daily screen-time reminder sends the app to the background instead of waiting to be dismissed. Coming straight back leaves the reminder on screen, so the limit stays reachable. Needs a daily limit set under TikTok's Settings and privacy, under Time and well-being.	TikToks eigene tägliche Bildschirmzeit-Erinnerung schickt die App in den Hintergrund, statt darauf zu warten, weggetippt zu werden. Kommst du direkt zurück, bleibt die Erinnerung auf dem Bildschirm, damit das Limit erreichbar bleibt. Braucht ein Tageslimit unter TikToks Einstellungen und Datenschutz, unter Zeit und Wohlbefinden.
Unblock	Entblocken
Add a button beside the block control to send feedback about the current video.	Neben der Blockieren-Schaltfläche eine Schaltfläche hinzufügen, um Feedback zum aktuellen Video zu senden.
Add a creator	Creator hinzufügen
Add a button that hides the current creator on this phone without blocking them.	Eine Schaltfläche hinzufügen, die den aktuellen Creator auf diesem Gerät ausblendet, ohne ihn zu blockieren.
Add a separate button that skips videos using the current sound.	Eine separate Schaltfläche hinzufügen, die Videos mit dem aktuellen Sound überspringt.
Add hidden creator	Ausgeblendeten Creator hinzufügen
Added %1$s	%1$s hinzugefuegt
Ads	Anzeigen
Auto-advance videos	Videos automatisch weiterschalten
Advanced	Erweitert
Advanced JSON value	Erweiterter JSON-Wert
All	Alle
All available languages	Alle verfügbaren Sprachen
All events	Alle Ereignisse
All loaded tabs	Alle geladenen Tabs
Allow Duet and Stitch anyway	Duett und Stitch trotzdem erlauben
Allow screenshots and Circle to Search	Screenshots und Circle to Search erlauben
Allow storage for TikTok in Android settings to save profile pictures	Zum Speichern eines Profilbilds wird die Speicherberechtigung gebraucht
Allow storage for TikTok in Android settings to save sounds	Zum Speichern eines Sounds wird die Speicherberechtigung gebraucht
Allow storage for TikTok in Android settings to save stories	Zum Speichern einer Story wird die Speicherberechtigung gebraucht
Bottom tabs to keep	Untere Tabs behalten
Already marked as not interested	Bereits als „nicht interessiert“ markiert
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.	Diese Filter auch auf heruntergeladene Videos anwenden, die TikTok nutzt, wenn der Feed nicht genug neue Beiträge laden kann.
Also change the region TikTok reports internally. Keeps your interface language. Your IP address and your account's own rules still apply.	Ändert außerdem die Region, die TikTok intern meldet. Die Sprache der Oberfläche bleibt. Deine IP-Adresse und die Regeln deines Kontos gelten weiterhin.
Always show publish date	Veröffentlichungsdatum immer anzeigen
Always show the publish date in video author information. Restart TikTok to apply this.	Das Veröffentlichungsdatum immer bei den Angaben zum Video anzeigen. TikTok neu starten, damit das gilt.
An app's package name, like com.dv.adm. The save button sends the video's link there instead of saving it here. Leave it empty to save here.	Der Paketname einer App, etwa com.dv.adm. Die Speichern-Schaltfläche schickt den Link des Videos dorthin, statt es hier zu speichern. Leer lassen, um hier zu speichern.
An interrupted settings change couldn't be recovered, so its record was set aside. Check your settings or restore a backup.	Eine unterbrochene Einstellungsänderung ließ sich nicht wiederherstellen, ihre Aufzeichnung wurde beiseitegelegt. Prüfe deine Einstellungen oder stelle eine Sicherung wieder her.
An operator code is five or six digits, like 310260	Ein Betreibercode hat fünf oder sechs Ziffern, zum Beispiel 310260
An override changes the value TikTok reads from this gate. It does not rewrite TikTok's cached value or prove the named feature changed.	Eine Überschreibung ändert den Wert, den TikTok von diesem Gate liest. Sie schreibt TikToks zwischengespeicherten Wert nicht um und beweist nicht, dass sich die genannte Funktion geändert hat.
Animated sticker format	Format animierter Sticker
Answer TikTok's location requests with nothing. The region settings change the locale and timezone. This switch stops the coordinates.	Beantwortet TikToks Standortanfragen mit nichts. Die Regionseinstellungen ändern Sprache und Zeitzone; das hier stoppt die Koordinaten.
Answer TikTok's reads of your contacts with an empty list. Find Friends and People you may know lose access to your contact list.	Beantwortet TikToks Zugriffe auf deine Kontakte mit einer leeren Liste. Freunde finden und Personen, die du kennen könntest, verlieren den Zugriff auf deine Kontaktliste.
Answer TikTok's scan of the apps on this phone with an empty list. A check for one named app, which TikTok also uses to open an app you tap, is left alone.	Beantwortet TikToks Scan der Apps auf diesem Telefon mit einer leeren Liste. Die Abfrage einer einzelnen App, mit der TikTok auch eine angetippte App öffnet, bleibt unangetastet.
App	App
App AB	App-AB
Appearance	Darstellung
Applies to both video and photo downloads.	Gilt für Video- und Foto-Downloads.
Apply	Übernehmen
Around the video	Rund um das Video
Arrange your feed and bottom tabs	Ordne deine Feed-Tabs und unteren Tabs an
Attention	Achtung
Audio	Audio
Auto translate comments	Kommentare automatisch übersetzen
Auto-advance session limit	Limit für automatisches Weiterschalten pro Sitzung
Automatic	Automatisch
Auto-advance	Automatisches Weiterschalten
Auto-advance stopped after %1$d videos	Automatisches Weiterschalten nach %1$d Videos angehalten
Auto-advance stopped after one video	Automatisches Weiterschalten nach einem Video angehalten
Automatic clear display	Automatische freie Ansicht
Avatar and follow button	Avatar und Folgen-Button
Back	Zurück
Back up settings	Einstellungen sichern
Backup and restore	Sichern und wiederherstellen
Black	Schwarz
Block clipboard reads	Lesen der Zwischenablage blockieren
Block contact list access	Zugriff auf die Kontaktliste blockieren
Block installed app scanning	Scan der installierten Apps blockieren
Block location	Standort blockieren
Block motion sensors	Bewegungssensoren blockieren
Block new feed tabs	Neue Feed-Tabs blockieren
Block new bottom tabs	Neue untere Tabs blockieren
Block this commenter	Diesen Kommentierenden blockieren
Block this creator	Diesen Ersteller blockieren
Block this sound	Diesen Sound blockieren
Blocked	Blockiert
Blocked %1$s	%1$s blockiert
Blocked %1$s. Unblock	%1$s blockiert. Entblocken
Couldn't confirm the block for %1$s. Open their profile to check.	Die Blockierung von %1$s konnte nicht bestätigt werden. Öffne das Profil, um nachzusehen.
Blocked caption words	Gesperrte Wörter in Beschreibungen
Blocked comment words	Gesperrte Wörter in Kommentaren
Blocked creators	Gesperrte Creator
Blocked sound ids	Gesperrte Sound-IDs
Blocked sound names	Gesperrte Sound-Namen
Blocked sounds	Blockierte Sounds
Blocking	Blockieren
Boolean	Boolesch
Browse	Durchsuchen
Camera and microphone in use	Kamera und Mikrofon in Benutzung
Camera in use	Kamera in Benutzung
Cancel	Abbrechen
Caption background	Untertitel-Hintergrund
Caption text size	Textgröße der Untertitel
Captions	Untertitel
Captions, gestures and on-screen controls	Untertitel, Gesten und Bildschirmelemente
Capture crash reports locally	Absturzberichte lokal speichern
Choose %1$d to %2$d videos. Values outside this range use the nearest valid limit. Restart TikTok to apply this.	%1$d bis %2$d Videos wählen. Werte außerhalb dieses Bereichs nehmen die nächste gültige Grenze. TikTok neu starten, damit das gilt.
Choose a backup file. Your current settings are kept for Undo.	Wähle eine Sicherungsdatei. Deine aktuellen Einstellungen bleiben zum Rückgängigmachen erhalten.
Choose a folder on internal storage. SD cards are not supported.	Nur Ordner im internen Speicher werden unterstützt.
Choose a preset to fill the SIM details.	Eine Vorlage wählen, um die SIM-Angaben auszufüllen.
Choose a subfolder under %1$s.	Wähle einen Unterordner in %1$s.
Pick the actions to remove from the share sheet. Names you typed by hand that TikTok hasn't shown yet stay in the list above.	Wähle die Aktionen aus, die aus dem Teilen-Menü entfernt werden sollen. Manuell eingegebene Namen, die TikTok noch nicht gezeigt hat, bleiben in der Liste oben.
Choose what reaches your feed	Wähle aus, was in deinem Feed erscheint
Choose which loaded TikTok bottom navigation tabs should stay visible.	Wähle, welche geladenen Tabs der unteren TikTok-Navigation sichtbar bleiben.
Choose which loaded TikTok feed tabs should stay visible. If only For You remains, its redundant header is hidden.	Wähle, welche geladenen TikTok-Feed-Tabs sichtbar bleiben. Wenn nur „Für dich“ übrig ist, wird die überflüssige Kopfzeile ausgeblendet.
Choose which rows and controls appear	Wähle sichtbare Zeilen und Bedienelemente
Clear all	Alle löschen
Clear all Lab data (overrides, switch, recordings)	Alle Labordaten löschen (Überschreibungen, Schalter, Aufzeichnungen)
Clear all suggested accounts	Alle vorgeschlagenen Konten löschen
Clear the recent events, saved crash reports and the hook status above.	Die letzten Ereignisse, gespeicherte Absturzberichte und den Hook-Status oben löschen.
Clear diagnostic data	Diagnosedaten löschen
Clear display	Freie Ansicht
Clear display delay	Verzögerung der freien Ansicht
Clear preset	Voreinstellung löschen
Clear search	Suche löschen
Clear seen videos	Gesehene Videos löschen
Clear the search	Suche löschen
Cleared. Tap to undo before TikTok closes.	Gelöscht. Tippe, um es rückgängig zu machen, bevor TikTok geschlossen wird.
Clearing	Wird entfernt
Clearing suggested accounts	Kontovorschläge werden entfernt
Clearing, %1$d so far	Wird geleert, bisher %1$d
Close	Schließen
Comma separated account handles or user ids. Videos from these accounts are always hidden. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name.	Kommagetrennte Konto-Namen oder Nutzer-IDs. Videos dieser Konten werden immer ausgeblendet. Ein Eintrag zwischen Schrägstrichen, etwa /^news_/, ist ein Muster für den @Namen und den Anzeigenamen.
Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries.	Kommagetrennte Ländercodes, etwa GB, IE. Videos von überall sonst werden ausgeblendet. Leer lassen für alle Länder.
Comma separated country codes. Videos posted from these are hidden, whatever the list above says.	Kommagetrennte Ländercodes. Videos von dort werden ausgeblendet, egal was die Liste darüber sagt.
Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above.	Liste weiterer Posteingangs-Zeilentitel, durch Kommas getrennt, die genau übereinstimmend ausgeblendet werden. Nutze das für alles, was oben nicht aufgeführt ist.
Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens.	Namen, durch Kommas getrennt, genau so, wie das Teilen-Menü sie zeigt: Freunde in der Zeile „Senden an“, Ziele wie Facebook und Aktionen wie „Gruppe erstellen“ oder „Reposten“. Feste Schlüssel wie copy, save und dislike funktionieren auch, bevor das Menü sich öffnet.
Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.	Sound-IDs, durch Kommas getrennt, die über die Sound-Taste im Player erfasst wurden. Entferne eine, um sie freizugeben.
Comma separated usernames or display names whose comments are hidden.	Nutzernamen oder Anzeigenamen, durch Kommas getrennt, deren Kommentare ausgeblendet werden.
Comma separated words or phrases. Videos whose caption matches are hidden. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Wörter oder Wendungen, durch Kommas getrennt. Videos mit passender Beschreibung werden ausgeblendet. Groß- und Kleinschreibung spielt keine Rolle. Zwei Wendungen in Anführungszeichen lassen sich verbinden: "a" & "b" verlangt beide, "a" !& "b" die erste ohne die zweite.
Comma separated words to match against a sound's name, like saxophone. Case does not matter.	Wörter, durch Kommas getrennt, die mit dem Namen eines Sounds verglichen werden, zum Beispiel Saxophon. Groß- und Kleinschreibung spielt keine Rolle.
Comma separated. A comment is hidden if its text contains any of them. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Durch Kommas getrennt. Ein Kommentar wird ausgeblendet, wenn sein Text eines davon enthält. Groß- und Kleinschreibung spielt keine Rolle. Zwei Wendungen in Anführungszeichen lassen sich verbinden: "a" & "b" verlangt beide, "a" !& "b" verlangt die erste ohne die zweite.
Comment media filename	Dateiname für Kommentar-Medien
Comments	Kommentare
Comments aren't available for this video	Für dieses Video gibt es keine Kommentare
Comments beside the video	Kommentare neben dem Video
Compare gate reads with their previous values.	Gate-Zugriffe mit ihren vorherigen Werten vergleichen.
Completed an interrupted settings change. Restart TikTok to apply this.	Eine unterbrochene Einstellungsänderung wurde abgeschlossen. TikTok neu starten, damit das gilt.
Config	Konfiguration
Config (Settings Manager)	Konfiguration (Settings Manager)
Confirm before a quick repost	Vor einem schnellen Repost bestätigen
Confirm before following	Vor dem Folgen bestätigen
Confirm before liking	Vor dem Liken bestätigen
Confirm before liking a comment	Vor dem Liken eines Kommentars bestätigen
Confirm before liking a story	Vor dem Liken einer Story bestätigen
Confirm before sending to a friend	Vor dem Senden an Freunde bestätigen
Continue supported videos from where you stopped when you scroll back to them.	Unterstützte Videos dort fortsetzen, wo du aufgehört hast, wenn du zu ihnen zurückscrollst.
Controls	Steuerung
Copied feature gate report	Gate-Bericht kopiert
Copy a quick report or save the full report as a file.	Einen Kurzbericht kopieren oder den vollständigen Bericht als Datei speichern.
Copy comments without username	Kommentare ohne Nutzernamen kopieren
Copy only the comment text when using TikTok's copy comment action.	Beim Kopieren eines Kommentars über TikTok nur den Kommentartext übernehmen.
Copy quick report	Kurzbericht kopieren
Copy report	Bericht kopieren
Copy the sound link	Soundlink kopieren
Copy the video link	Videolink kopieren
Couldn't change the Lab settings. Try again.	Die Lab-Einstellungen ließen sich nicht ändern. Versuch es noch einmal.
Couldn't clear the suggested accounts. Reopen the Inbox and try again.	Die Kontovorschläge ließen sich nicht entfernen. Öffne den Posteingang noch einmal und versuch es erneut.
Couldn't copy the report. Use Save JSON instead.	Der Bericht ließ sich nicht kopieren. Nutze stattdessen „JSON speichern“.
Couldn't open settings search. Reopen settings and try again.	Die Einstellungssuche ließ sich nicht öffnen. Öffne die Einstellungen noch einmal und versuch es erneut.
Couldn't open that settings section. Reopen settings and try again.	Dieser Einstellungsbereich ließ sich nicht öffnen. Öffne die Einstellungen noch einmal und versuch es erneut.
Couldn't open the file picker to export. Try again.	Die Dateiauswahl zum Exportieren ließ sich nicht öffnen. Versuch es noch einmal.
Couldn't open the file picker to import. Try again.	Die Dateiauswahl zum Importieren ließ sich nicht öffnen. Versuch es noch einmal.
Couldn't put back the diagnostic data. Try again.	Die Diagnosedaten ließen sich nicht zurückholen. Versuch es noch einmal.
Couldn't read who posted this comment. Open their profile and block them there.	Es ließ sich nicht lesen, wer diesen Kommentar geschrieben hat. Öffne das Profil und blockiere die Person dort.
Couldn't reset this override. Try again.	Diese Überschreibung ließ sich nicht zurücksetzen. Versuch es noch einmal.
Couldn't restore the settings. Try again.	Die Einstellungen ließen sich nicht wiederherstellen. Versuch es noch einmal.
Couldn't save the settings backup. Try again.	Die Sicherung der Einstellungen ließ sich nicht speichern. Versuch es noch einmal.
Couldn't save this override. Try again.	Diese Überschreibung ließ sich nicht speichern. Versuch es noch einmal.
Couldn't send the feedback. Try again shortly.	Die Rückmeldung konnte nicht gesendet werden. Versuche es gleich noch einmal.
Couldn't start the Lab change. Try again shortly.	Die Lab-Änderung konnte nicht gestartet werden. Versuche es gleich noch einmal.
Couldn't start the report export. Try again shortly.	Der Export des Berichts ließ sich nicht starten. Versuche es gleich noch einmal.
Couldn't start the settings change. Try again shortly.	Die Einstellungsänderung ließ sich nicht starten. Versuche es gleich noch einmal.
Couldn't tell which folder to update. Choose it again.	Nicht erkennbar, welcher Ordner geändert werden soll. Bitte erneut auswählen.
Couldn't undo the clear. Try again.	Das Löschen ließ sich nicht rückgängig machen. Versuch es noch einmal.
Country code	Ländercode
Country and network preferences	Land und Netzwerkeinstellungen
Counts under the buttons	Zahlen unter den Schaltflächen
Create	Erstellen
Creators and sounds	Creator und Sounds
Creators you hid from a video. Search the list and remove one at a time.	Creator, die du bei einem Video ausgeblendet hast. Durchsuche die Liste und entferne einzelne Einträge.
Current	Aktuell
Current %1$s	Aktuell %1$s
Current cache unavailable: %1$s	Aktueller Cache nicht verfügbar: %1$s
Current state	Aktueller Zustand
Current: %1$s	Aktuell: %1$s
Custom SIM details	Eigene SIM-Angaben
Custom value	Benutzerdefinierter Wert
Custom value...	Benutzerdefinierter Wert...
Protect external pages in TikTok's browser	Externe Seiten in TikToks Browser schützen
Daily budget	Tagesbudget
Daily budgets, reminders and the hold	Tagesbudgets, Erinnerungen und die Pause
Daily time budget	Tägliches Zeitbudget
Daily video budget	Tägliches Videobudget
Dark	Dunkel
Days to remember a video. Zero removes the age limit. History keeps at most %1$s videos.	Tage, die ein Video gemerkt wird. Null hebt die Altersgrenze auf. Der Verlauf behält höchstens %1$s Videos.
Days. Zero keeps every age. Posts without a usable timestamp, including future posts, stay visible.	Tage. Null lässt jedes Alter zu. Beiträge ohne brauchbaren Zeitstempel, auch zukünftige, bleiben sichtbar.
Default	Standard
Default playback speed	Standard-Wiedergabegeschwindigkeit
Device access	Gerätezugriff
Device language, then original	Gerätesprache, dann Original
Diagnostic data cleared. Tap again to put it back.	Diagnosedaten gelöscht. Tippe erneut, um sie wiederherzustellen.
Diagnostic data put back	Diagnosedaten wiederhergestellt
Diagnostic report copied to the clipboard	Diagnosebericht in die Zwischenablage kopiert
Diagnostics	Diagnose
Disable	Ausschalten
Stop analytics and tracking	Analyse und Tracking stoppen
Keep For You on a Home tap	„Für dich“ beim Tippen auf Startseite behalten
Keep For You on a pull down	„Für dich“ beim Herunterziehen behalten
Keep long press from quick sharing	Langes Drücken nicht schnell teilen lassen
Keep long press from reposting	Langes Drücken nicht reposten lassen
Disabled	Ausgeschaltet
Discard edits	Änderungen verwerfen
Dismissed %1$s suggested accounts	%1$s Kontovorschläge entfernt
Dismissed one suggested account	Ein Kontovorschlag entfernt
Do not start the feed on returning	Feed beim Zurückkommen nicht starten
Do nothing	Nichts tun
Done	Fertig
Double tap	Doppeltippen
Download original photos	Originalfotos herunterladen
Destination updated	Speicherziel aktualisiert
Downloads	Downloads
Drag to move, release to place	Zum Verschieben ziehen, zum Ablegen loslassen
Drama and Series	Drama und Serien
