%1$d already matched	%1$d ya coincidían
%1$d areas were checked and everything they need is here.	Se comprobaron %1$d áreas y está todo lo que necesitan.
%1$d fields overridden	%1$d campos sobrescritos
%1$d fields will be overridden when requested	%1$d campos se sobrescribirán cuando se soliciten
%1$d gates selected	%1$d interruptores seleccionados
%1$d minutes left	Quedan %1$d minutos
%1$d rejected	%1$d rechazados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados hasta ahora
%1$d results so far, and more not counted	%1$d resultados hasta ahora, y más sin contar
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is.	%1$d ajuste no estaba en ese archivo y se dejó como estaba.
%1$d settings were not in that file and were left as they are.	%1$d ajustes no estaban en ese archivo y se dejaron como estaban.
%1$d unavailable	%1$d no disponibles
%1$s (%2$s)	%1$s (%2$s)
%1$s (custom, unverified)	%1$s (personalizado, sin verificar)
%1$s (override returned)	%1$s (se devolvió la sobrescritura)
%1$s (TikTok value)	%1$s (valor de TikTok)
%1$s (will be returned when requested)	%1$s (se devolverá cuando se solicite)
%1$s / current cache only	%1$s / solo caché actual
%1$s / generated registry	%1$s / registro generado
%1$s / generated registry and current cache	%1$s / registro generado y caché actual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s y superior
%1$s appears more than once in this file.	%1$s aparece más de una vez en este archivo.
%1$s changed	%1$s cambiados
%1$s destinations must start with %2$s	Los destinos de %1$s deben empezar por %2$s
%1$s has an invalid value. %2$s	%1$s tiene un valor no válido. %2$s
%1$s has no supported override boundary in this Lab build.	%1$s no tiene un límite de sobrescritura compatible en esta compilación del Lab.
%1$s has type %2$s, but the file says %3$s.	%1$s tiene el tipo %2$s, pero el archivo indica %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s no es un código de país, así que ningún vídeo coincidiría nunca. Usa dos letras, como GB, IE o US.
%1$s is not in this Lab catalog.	%1$s no está en este catálogo del Lab.
%1$s isn't installed or doesn't take links	%1$s no está instalado o no acepta enlaces
%1$s left	Queda %1$s
%1$s min left	Quedan %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Quedan %1$s videos
%1$s was rejected. %2$s	%1$s fue rechazado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seleccionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltan
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar. El primero que faltó: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan. El primero que faltó: %4$s
1 field overridden	1 campo sobrescrito
All loaded tabs	Todas las pestañas cargadas
Allow Duet and Stitch anyway	Permitir Dúo y Unir de todas formas
Allow screenshots and Circle to Search	Permitir capturas de pantalla y Círculo para buscar
Allowed bottom tabs	Pestañas inferiores permitidas
Already marked as not interested	Ya marcado como no me interesa
Also apply these filters to downloaded videos TikTok uses when the feed cannot load enough new items.	Aplicar también estos filtros a los vídeos descargados que TikTok usa cuando el feed no consigue cargar suficientes elementos nuevos.
Also change the region TikTok reports internally. Keeps your interface language. Your IP address and your account's own rules still apply.	Cambia también la región que TikTok informa internamente. Mantiene el idioma de la interfaz. Tu dirección IP y las reglas de tu cuenta siguen aplicándose.
Always show publish date	Mostrar siempre la fecha de publicación
Always show the publish date in video author information. Restart TikTok to apply this.	Mostrar siempre la fecha de publicación en la información del autor del vídeo. Reinicia TikTok para que se aplique.
An app's package name, like com.dv.adm. The save button sends the video's link there instead of saving it here. Leave it empty to save here.	El nombre de paquete de una app, como com.dv.adm. El botón de guardar envía allí el enlace del vídeo en vez de guardarlo aquí. Déjalo vacío para guardarlo aquí.
An interrupted settings change could not be recovered, so its record was set aside. Check your settings or restore a backup.	No se pudo recuperar un cambio de ajustes interrumpido, así que su registro se apartó. Revisa tus ajustes o restaura una copia de seguridad.
An operator code is five or six digits, like 310260	Un código de operador tiene cinco o seis dígitos, como 310260
An override changes the value returned by the getter. It does not rewrite TikTok's cached value or prove the named feature changed.	Una sustitución cambia el valor que devuelve el lector. No reescribe el valor que TikTok tiene en caché ni demuestra que la función nombrada haya cambiado.
Animated sticker format	Formato de los stickers animados
App AB	AB de la aplicación
App behavior	Comportamiento de la app
Applies to both video and photo downloads.	Se aplica tanto a las descargas de vídeo como a las de fotos.
Apply	Aplicar
Arrange your feed and bottom tabs	Organiza tu feed y las pestañas inferiores
Audio	Audio
Auto translate comments	Traducir comentarios automáticamente
Auto-advance session limit	Límite de avance automático por sesión
Automatic	Automático
Automatic advance	Avance automático
Automatic advance stopped after %1$d videos	El avance automático se detuvo tras %1$d vídeos
Automatic advance stopped after one video	El avance automático se detuvo tras un vídeo
Automatic clear display	Ocultar controles automáticamente
Back	Atrás
Back up settings	Copia de seguridad de los ajustes
Backups and troubleshooting	Copias de seguridad y resolución de problemas
Black	Negro
Block new bottom tabs	Bloquear pestañas inferiores nuevas
Block new TikTok tabs	Bloquear pestañas nuevas de TikTok
Block this commenter	Bloquear a quien comenta
Block this creator	Bloquear a este creador
Block this sound	Bloquear este sonido
Blocked	Bloqueado
Blocked %1$s	%1$s bloqueado
Blocked caption words	Palabras bloqueadas en las descripciones
Blocked comment words	Palabras bloqueadas en los comentarios
Blocked creators	Creadores bloqueados
Blocked sound ids	Ids de sonidos bloqueados
Blocked sound names	Nombres de sonidos bloqueados
Blocked sounds	Sonidos bloqueados
Boolean	Booleano
Browse	Explorar
Cancel	Cancelar
Caption background	Fondo de los subtítulos
Caption text size	Tamaño del texto de los subtítulos
Captions	Subtítulos
Captions, gestures and on-screen controls	Subtítulos, gestos y controles en pantalla
Capture crash reports locally	Guardar los informes de fallo en el dispositivo
Choose 1-1000 videos. Values outside this range use the nearest valid limit. Restart TikTok to apply this.	Elige entre 1 y 1000 vídeos. Los valores fuera de ese rango usan el límite válido más cercano. Reinicia TikTok para que se aplique.
Choose a backup file. Your current settings are kept for Undo.	Elige un archivo de copia de seguridad. Tus ajustes actuales se guardan para Deshacer.
Choose a preset to fill the SIM details.	Elige un ajuste preestablecido para rellenar los datos de la SIM.
Choose a subfolder under %1$s.	Elige una subcarpeta dentro de %1$s.
Choose observed share actions to hide. The stable identifier is shown below each label; unknown saved identifiers stay in the manual list.	Elige qué acciones de compartir observadas quieres ocultar. El identificador estable se muestra bajo cada etiqueta; los identificadores guardados desconocidos se quedan en la lista manual.
Choose what reaches your feed	Elige qué llega a tu feed
Choose which loaded TikTok bottom navigation tabs should stay visible.	Elige qué pestañas de navegación inferior cargadas por TikTok deben seguir visibles.
Choose which loaded TikTok feed tabs should stay visible.	Elige qué pestañas del feed cargadas por TikTok deben seguir visibles.
Choose which rows and controls appear	Elige qué filas y controles aparecen
Clear all	Borrar todo
Clear all Lab data (overrides, switch, recordings)	Borrar todos los datos del Lab (sustituciones, interruptor, grabaciones)
Clear all suggested accounts	Borrar todas las cuentas sugeridas
Clear buffered events, saved crash reports and the hook status above.	Borra los eventos en memoria, los informes de fallo guardados y el estado de los enganches de arriba.
Clear diagnostic data	Borrar los datos de diagnóstico
Clear display delay	Retardo para ocultar los controles
Clear preset	Quitar el preajuste
Clear search	Borrar la búsqueda
Clear the search	Borrar la búsqueda
Clear the seen video history	Borrar el historial de vídeos vistos
Cleared. Tap again to put the record back.	Borrado. Toca otra vez para recuperar el registro.
Clearing	Borrando
Clearing suggested accounts	Borrando las cuentas sugeridas
Clearing, %1$d so far	Borrando, %1$d hasta ahora
Close	Cerrar
code %1$s	código %1$s
Comma separated account handles or user ids. These accounts are always skipped. An entry between slashes, like /^news_/, is a pattern matched against the handle and the display name.	Nombres de usuario o ids separados por comas. Estas cuentas siempre se saltan. Una entrada entre barras, como /^news_/, es un patrón que se compara con el nombre de usuario y con el nombre visible.
Comma separated country codes, like GB, IE. Videos posted from anywhere else are hidden. Leave empty for all countries.	Códigos de país separados por comas, como GB, IE. Los vídeos publicados desde cualquier otro sitio se ocultan. Déjalo vacío para todos los países.
Comma separated country codes. Videos posted from these are hidden, whatever the list above says.	Códigos de país separados por comas. Los vídeos publicados desde ellos se ocultan, diga lo que diga la lista de arriba.
Comma separated list of any other Inbox row titles to hide, matched exactly. Use this for anything not listed above.	Lista separada por comas de cualquier otro título de fila de la bandeja que quieras ocultar, con coincidencia exacta. Úsalo para lo que no esté arriba.
Comma separated names exactly as the share sheet shows them: friends in the Send to row, share targets such as Facebook, and actions such as Create group or Repost. Stable keys such as copy, save and dislike also work before the sheet opens.	Nombres separados por comas, exactamente como los muestra el panel de compartir: amigos de la fila Enviar a, destinos como Facebook y acciones como Crear grupo o Repostear. Las claves estables como copy, save y dislike también funcionan antes de que se abra el panel.
Comma separated sound ids recorded by the player's sound button. Remove one to unblock it.	Ids de sonido separados por comas, registrados por el botón de sonido del reproductor. Quita uno para desbloquearlo.
Comma separated usernames or display names whose comments are hidden.	Nombres de usuario o nombres visibles separados por comas cuyos comentarios se ocultan.
Comma separated words or phrases. Matching captions are skipped. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Palabras o frases separadas por comas. Las descripciones que coincidan se saltan. Da igual mayúsculas y minúsculas. Dos frases entre comillas se pueden unir: "a" & "b" pide las dos, "a" !& "b" pide la primera sin la segunda.
Comma separated words to match against a sound's name, like saxophone. Case does not matter.	Palabras separadas por comas para comparar con el nombre de un sonido, como saxofón. Da igual mayúsculas y minúsculas.
Comma separated. A comment is hidden if its text contains any of them. Case does not matter. Two phrases in quotes can be joined: "a" & "b" needs both, "a" !& "b" needs the first without the second.	Separadas por comas. Un comentario se oculta si su texto contiene cualquiera de ellas. Da igual mayúsculas y minúsculas. Dos frases entre comillas se pueden unir: "a" & "b" pide las dos, "a" !& "b" pide la primera sin la segunda.
Comment media filename	Nombre de archivo del contenido de un comentario
Comments and translation	Comentarios y traducción
Comments aren't available for this video	Los comentarios no están disponibles para este vídeo
Comments beside the video	Comentarios junto al vídeo
Compare gate reads with their previous values. Last recording: %1$d gates.	Compara las lecturas de los interruptores con sus valores anteriores. Última grabación: %1$d interruptores.
Completed an interrupted settings change. Restart TikTok to apply this.	Se completó un cambio de ajustes interrumpido. Reinicia TikTok para que se aplique.
Config	Configuración
Config (Settings Manager)	Configuración (Settings Manager)
Confirm before following	Confirmar antes de seguir
Confirm before liking	Confirmar antes de dar me gusta
Confirm before sending to a friend	Confirmar antes de enviar a un amigo
Continue supported videos from where you stopped when you scroll back to them.	Continuar los vídeos compatibles desde donde los dejaste cuando vuelvas a ellos.
Controls	Controles
Copied feature gate report	Informe de interruptores copiado
Copy a quick report or save the full report as a file.	Copia un informe rápido o guarda el informe completo como archivo.
Copy comments without username	Copiar los comentarios sin el nombre de usuario
Copy only the comment text when using TikTok's copy comment action.	Copiar solo el texto del comentario al usar la acción de copiar comentario de TikTok.
Copy quick report	Copiar informe rápido
Copy report	Copiar el informe
Copy the sound link	Copiar el enlace del sonido
Copy the video link	Copiar el enlace del vídeo
Could not change Lab settings.	No se han podido cambiar los ajustes del Lab.
Could not clear suggested accounts	No se pudieron borrar las cuentas sugeridas
Could not confirm block for %1$s	No se pudo confirmar el bloqueo de %1$s
Could not confirm unblock for %1$s	No se pudo confirmar el desbloqueo de %1$s
Could not copy report. Use Save JSON.	No se pudo copiar el informe. Usa Guardar JSON.
Could not open settings search	No se pudo abrir la búsqueda de ajustes
Could not open settings section	No se pudo abrir la sección de ajustes
Could not open the export file picker	No se ha podido abrir el selector de archivos para exportar
Could not open the import file picker	No se ha podido abrir el selector de archivos para importar
Could not put back the diagnostic data. Try again.	No se pudieron restaurar los datos de diagnóstico. Inténtalo de nuevo.
Could not put back the seen video history. Try again.	No se pudo recuperar el historial de vídeos vistos. Inténtalo otra vez.
Could not read who posted this comment	No se pudo leer quién publicó este comentario
Could not reset this override.	No se ha podido restablecer esta sustitución.
Could not restore settings.	No se pudieron restaurar los ajustes.
Could not save settings backup.	No se pudo guardar la copia de seguridad de los ajustes.
Could not save this override.	No se ha podido guardar esta sustitución.
Could not send the feedback. Try again shortly.	No se pudo enviar la valoración. Inténtalo de nuevo en un momento.
Could not start the Lab change. Try again shortly.	No se pudo iniciar el cambio del Lab. Inténtalo de nuevo en breve.
Could not start the report export. Try again shortly.	No se pudo iniciar la exportación del informe. Inténtalo de nuevo en breve.
Could not start the settings operation. Try again shortly.	No se pudo iniciar la operación de ajustes. Inténtalo de nuevo en breve.
Could not tell which folder to update. Choose it again.	No se pudo saber qué carpeta actualizar. Vuelve a elegirla.
Country and network preferences	Preferencias de país y de red
Country ISO	ISO del país
Create	Crear
Creator handle or id	Nombre de usuario o id del creador
Creators hidden from later feed batches by the player action. Search the list and remove one entry at a time.	Creadores ocultados de los siguientes lotes del feed mediante la acción del reproductor. Busca en la lista y quita las entradas de una en una.
Current	Actual
Current %1$s	Actual: %1$s
Current cache unavailable: %1$s	La caché actual no está disponible: %1$s
Current state	Estado actual
Current: %1$s	Ahora: %1$s
Current: %1$s %2$s	Ahora: %1$s %2$s
Custom %1$s value (unverified)	Valor %1$s propio (sin verificar)
Custom SIM details	Datos de SIM personalizados
Custom value (unverified)	Valor propio (sin verificar)
Custom value...	Valor personalizado...
Daily budget	Presupuesto diario
Daily time budget	Presupuesto diario de tiempo
Daily video budget	Presupuesto diario de vídeos
Dark	Oscuro
day	día
days	días
Days to remember a video. Zero removes the age limit. History keeps at most 10,000 videos.	Días que se recuerda un vídeo. Cero quita el límite de antigüedad. El historial guarda como mucho 10.000 vídeos.
Days. Zero keeps every age. Posts without a usable timestamp, including future posts, stay visible.	Días. Cero acepta cualquier antigüedad. Las publicaciones sin una fecha utilizable, incluidas las futuras, siguen visibles.
Default	Predeterminado
Default playback speed	Velocidad de reproducción predeterminada
Delete the local record of the videos you have watched.	Borra el registro local de los vídeos que has visto.
Device language, then original	Idioma del dispositivo, después el original
Diagnostic data cleared. Tap again to put it back.	Se borraron los datos de diagnóstico. Toca de nuevo para restaurarlos.
Diagnostic data put back.	Se restauraron los datos de diagnóstico.
Diagnostic report copied to the clipboard.	Informe de diagnóstico copiado al portapapeles.
Diagnostics	Diagnóstico
Disable	Desactivar
Disable analytics and tracking	Desactivar la analítica y el seguimiento
Disable the long press quick share	Desactivar el compartir rápido con pulsación larga
Disable the long press repost	Desactivar el repost con pulsación larga
Disabled	Desactivados
Discard edits	Descartar los cambios
Dismissed %1$s suggested accounts	%1$s cuentas sugeridas descartadas
Dismissed one suggested account	Una cuenta sugerida descartada
Display	Pantalla
Do not start the feed on returning	No poner el feed en marcha al volver
Do nothing	No hacer nada
Done	Listo
Double tap	Doble toque
Download original photos	Descargar las fotos originales
Download path updated	Ruta de descarga actualizada
Downloads	Descargas
dp	dp
Drag to move, release to place	Arrastra para mover, suelta para colocar
Drama and Series	Drama y series
Drop the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox.	Descarta la notificación que dice que alguien nuevo te ha seguido antes de que llegue al panel. Las demás notificaciones se quedan como están, y quien te siguió sigue apareciendo en la bandeja.
Each area, how many of the things it looks for are in this build and how many are not.	Cada área, cuántas de las cosas que busca están en esta compilación y cuántas no.
Empty	Vacío
Empty the menu that opens when you press and hold TikTok's icon on the home screen. Turning this off asks TikTok to build them again. Tapping the icon still opens the app, and a shortcut you pinned yourself stays where you put it.	Vaciar el menú que se abre al mantener pulsado el icono de TikTok en la pantalla de inicio. Al desactivarlo se pide a TikTok que los vuelva a crear. Tocar el icono sigue abriendo la aplicación, y un acceso directo que hayas anclado permanece donde lo pusiste.
Enable	Activar
Enable diagnostic logging	Activar el registro de diagnóstico
Enable hold-and-slide 2x lock	Activar el bloqueo a 2x manteniendo y deslizando
Enable overrides	Activar las sustituciones
Enabled	Activados
Enter a creator handle or id	Escribe un nombre de usuario o un id de creador
Enter a finite number.	Introduce un número finito.
Enter a JSON object or array.	Introduce un objeto o una matriz JSON.
Enter a number	Escribe un número
Enter a number.	Escribe un número.
Enter a valid structured value.	Introduce un valor estructurado válido.
Enter a valid two-letter country code	Escribe un código de país válido de dos letras
Enter a valid value for %1$s.	Introduce un valor válido para %1$s.
Enter a whole number, or one like 20K, 1.5M or 2B	Escribe un número entero, o uno como 20K, 1.5M o 2B
Enter true or false.	Introduce true o false.
Enter up to 8 comma-separated speeds from 0.5 to 3	Escribe hasta 8 velocidades separadas por comas, de 0.5 a 3
Enter valid JSON.	Introduce JSON válido.
Entry %1$d has a field with the wrong data type.	La entrada %1$d tiene un campo con un tipo de datos incorrecto.
Entry %1$d is not an object.	La entrada %1$d no es un objeto.
Errors	Errores
Expand activity list	Ampliar la lista de actividad
Explore	Explorar
Export diagnostic report	Exportar el informe de diagnóstico
Export loaded values	Exportar los valores cargados
Exported %1$d loaded values	%1$d valores cargados exportados
Exported 1 loaded value	1 valor cargado exportado
Fade the feed out before the hold	Atenuar el feed antes de la pausa
Feature Gate Lab	Laboratorio de interruptores
Feature Gate Lab could not find the settings container	El Feature Gate Lab no ha encontrado el contenedor de los ajustes
Feature gate override reset	Sustitución del interruptor restablecida
Feature gate override saved	Sustitución del interruptor guardada
Feed and navigation	Feed y navegación
Feed controls	Controles del feed
Feed elements	Elementos del feed
Feed filter	Filtro del feed
Feed navigation	Navegación del feed
Field %1$s can't be changed on this build. Take it out of the override, or reset the override.	El campo %1$s no se puede cambiar en esta versión. Quítalo de la anulación o restablece la anulación.
Field edits were discarded.	Se descartaron los cambios de los campos.
Field edits were not saved.	Los cambios de los campos no se guardaron.
Filter bottom tabs	Filtrar las pestañas inferiores
Filter comments by keyword	Filtrar los comentarios por palabra
Filter feed tabs	Filtrar las pestañas del feed
Filter offline fallback videos	Filtrar los vídeos de reserva sin conexión
Filter settings	Ajustes de filtros
Filter the list	Filtrar la lista
Filter: %1$s	Filtro: %1$s
Filters, translation and copy options	Filtros, traducción y opciones de copia
Find a setting by title or description	Busca un ajuste por título o descripción
First caller	Primera llamada
First rejection:	Primer rechazo:
Fit the video to the screen	Ajustar el vídeo a la pantalla
Follow probe	Comprobación de seguir
Following	Siguiendo
For com.deniscerri.ytdl only. Ask YTDLnis for audio or video when the save button hands it a link.	Solo para com.deniscerri.ytdl. Pedir a YTDLnis audio o vídeo cuando el botón de guardar le pasa un enlace.
For com.deniscerri.ytdl only. Hide its download card and start the handoff in the background.	Solo para com.deniscerri.ytdl. Ocultar su tarjeta de descarga y empezar el traspaso en segundo plano.
For You	Para ti
Forced %1$d gates of %2$d; the rest do not take a true or false value. Restart TikTok to apply this.	%1$d interruptores de %2$d forzados; los demás no aceptan un valor true o false. Reinicia TikTok para aplicar esto.
Forced %1$d gates. Restart TikTok to apply this.	%1$d interruptores forzados. Reinicia TikTok para aplicar esto.
Forced 1 gate of %1$d; the rest do not take a true or false value. Restart TikTok to apply this.	1 interruptor de %1$d forzado; los demás no aceptan un valor true o false. Reinicia TikTok para aplicar esto.
Forced 1 gate. Restart TikTok to apply this.	1 interruptor forzado. Reinicia TikTok para aplicar esto.
Forced result	Resultado forzado
Forget seen videos after	Olvidar los vídeos vistos después de
Forget what has been counted today and end any hold. The budgets themselves are left alone.	Olvidar lo que se ha contado hoy y terminar cualquier pausa. Los presupuestos en sí se quedan como están.
Friends	Amigos
Full comment sort options	Opciones completas de orden de los comentarios
Full license	Licencia completa
Full report saved to %1$s	Informe completo guardado en %1$s
Gate data unavailable	Datos de los interruptores no disponibles
Gate details	Detalles del interruptor
Generated defaults	Valores predeterminados generados
Gestures	Gestos
Ghost mode	Modo fantasma
GIF	GIF
Hidden %1$s locally	%1$s ocultado en el dispositivo
Hidden commenters	Comentaristas ocultos
Hidden creators	Creadores ocultos
Hide	Ocultar
Hide activity	Ocultar la actividad
Hide activity status	Ocultar el estado de actividad
Hide AI generated videos	Ocultar los vídeos generados por IA
Hide archive	Ocultar el archivo
Hide bottom tabs TikTok adds later unless you allow them.	Ocultar las pestañas inferiores que TikTok añada más adelante salvo que las permitas.
Hide browsing and LIVE puzzle dialogs. Login, account verification and any puzzle raised over a follow, like, comment or repost stay visible.	Ocultar los rompecabezas de navegación y de LIVE. Los de inicio de sesión, los de verificación de cuenta y cualquiera que salga al seguir, dar me gusta, comentar o repostear siguen visibles.
Hide CAPTCHA popups	Ocultar las ventanas de CAPTCHA
Hide comment polls	Ocultar las encuestas en los comentarios
Hide comment popup ads	Ocultar los anuncios emergentes de los comentarios
Hide comments made of an image or a sticker instead of words.	Ocultar los comentarios hechos con una imagen o un sticker en vez de con palabras.
Hide comments that contain any of the words below, or that come from the accounts below.	Ocultar los comentarios que contengan cualquiera de las palabras de abajo, o que vengan de las cuentas de abajo.
Hide controls after each video starts. Tap to restore them.	Ocultar los controles después de que empiece cada vído. Toca para recuperarlos.
Hide conversations	Ocultar las conversaciones
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still switched on.	Ocultar todas las conversaciones de mensajes directos. Deja la bandeja vacía salvo por lo que sigas teniendo activado.
Hide feed save button	Ocultar el botón de guardar del feed
Hide feed search button	Ocultar el botón de buscar del feed
Hide floating promotion badges, coins, and timer banners on the homepage.	Ocultar las insignias promocionales flotantes, las monedas y los banners con cuenta atrás de la página de inicio.
Hide floating promotions	Ocultar las promociones flotantes
Hide inserted cards	Ocultar las tarjetas insertadas
Hide LIVE replays	Ocultar las repeticiones de LIVE
Hide LIVE videos	Ocultar los vídeos LIVE
Hide message requests	Ocultar las solicitudes de mensaje
Hide message streaks	Ocultar las rachas de mensajes
Hide new follower notifications	Ocultar las notificaciones de nuevos seguidores
Hide new followers	Ocultar los nuevos seguidores
Hide paid partnerships	Ocultar las colaboraciones pagadas
